Number Held,Address,Opensea
140,0x270e962ff2306d6b1d965b149a545e0a5d0e21d0,https://opensea.io/0x270e962ff2306d6b1d965b149a545e0a5d0e21d0
97,0xb46d73a2cd176d876338652a4ecbbadc624cf085,https://opensea.io/0xb46d73a2cd176d876338652a4ecbbadc624cf085
93,0xfb796d6335a7ebcc4be5eb38111df1ecc0c8f299,https://opensea.io/0xfb796d6335a7ebcc4be5eb38111df1ecc0c8f299
79,0x0a719a1c3d997ee54ee317dd02617ed7edb53e00,https://opensea.io/0x0a719a1c3d997ee54ee317dd02617ed7edb53e00
77,0x9dd85cc62c3567bdb775403efd3641a08eeb84bd,https://opensea.io/0x9dd85cc62c3567bdb775403efd3641a08eeb84bd
63,0x9efec2de6dd2060d920867de68704d5dfd218a90,https://opensea.io/0x9efec2de6dd2060d920867de68704d5dfd218a90
51,0xea39c551834d07ee2ee87f1ceff843c308e089af,https://opensea.io/0xea39c551834d07ee2ee87f1ceff843c308e089af
50,0x167375ff33dc19570577d55cd4be8883c8a0db03,https://opensea.io/0x167375ff33dc19570577d55cd4be8883c8a0db03
49,0xec31342244d2157d670d513007c4257295a02a4c,https://opensea.io/0xec31342244d2157d670d513007c4257295a02a4c
45,0x0e039779806a07a0114dd6298345cbb8fbf91697,https://opensea.io/0x0e039779806a07a0114dd6298345cbb8fbf91697
41,0x35d117ac4c0f84888a6949bfcbd3201267b572c3,https://opensea.io/0x35d117ac4c0f84888a6949bfcbd3201267b572c3
39,0x12be0d94b4ac654970723e58b50aa06d4f5ba247,https://opensea.io/0x12be0d94b4ac654970723e58b50aa06d4f5ba247
38,0xcfe7321fd5aca6912694ecf85d41617e0d884fdc,https://opensea.io/0xcfe7321fd5aca6912694ecf85d41617e0d884fdc
34,0xbb14766b9455c10b2d583427d586954bce20e703,https://opensea.io/0xbb14766b9455c10b2d583427d586954bce20e703
34,0x3d5465d9dc50972cc091863299057dc70a7f32ec,https://opensea.io/0x3d5465d9dc50972cc091863299057dc70a7f32ec
29,0xea0188fcbc17d14faf263a747b6bac0df8034343,https://opensea.io/0xea0188fcbc17d14faf263a747b6bac0df8034343
28,0x0833be979cb1a1dc0eaaf98167c56f1b41776632,https://opensea.io/0x0833be979cb1a1dc0eaaf98167c56f1b41776632
27,0xa2e87bf4e4edc28922736887772c351de5554b77,https://opensea.io/0xa2e87bf4e4edc28922736887772c351de5554b77
27,0xbf59e40112157017b69be5734f8c702dcbd73336,https://opensea.io/0xbf59e40112157017b69be5734f8c702dcbd73336
25,0x621351604e300f3f4990aafcc17d0bb23f98ff6e,https://opensea.io/0x621351604e300f3f4990aafcc17d0bb23f98ff6e
25,0x2be830c9c4a3eb3f9ebf736eed948e9ec1f1f33b,https://opensea.io/0x2be830c9c4a3eb3f9ebf736eed948e9ec1f1f33b
24,0x1c38783bd142258b156d39953b1123522d77a0ab,https://opensea.io/0x1c38783bd142258b156d39953b1123522d77a0ab
24,0x7d515af23f9725e9126ff86533c0bc3749cd8efc,https://opensea.io/0x7d515af23f9725e9126ff86533c0bc3749cd8efc
23,0x1e55caa049a59b27f21aa49f575f71ae508965b6,https://opensea.io/0x1e55caa049a59b27f21aa49f575f71ae508965b6
23,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,https://opensea.io/0x8217cc277a8edfda132a0123761e1d2aa795ecc6
22,0xfa89ec40699bbfd749c4eb6643dc2b22ff0e2aa6,https://opensea.io/0xfa89ec40699bbfd749c4eb6643dc2b22ff0e2aa6
22,0xc977838b09f630ef8d326077340c665a920804e3,https://opensea.io/0xc977838b09f630ef8d326077340c665a920804e3
22,0x470f5469aeaca55b7b415d14f5707278bddbbffe,https://opensea.io/0x470f5469aeaca55b7b415d14f5707278bddbbffe
21,0x8e2532a9550e39aa23a24966f8e468248f186f5a,https://opensea.io/0x8e2532a9550e39aa23a24966f8e468248f186f5a
21,0x300736a2c7eacac5524930aff74779ecb2c775ed,https://opensea.io/0x300736a2c7eacac5524930aff74779ecb2c775ed
21,0x3ed675a88da9b6a98c3a0160d257452c93aaab6c,https://opensea.io/0x3ed675a88da9b6a98c3a0160d257452c93aaab6c
20,0x991bc95d32858b7eacfc2c66415be0a7a01e82fd,https://opensea.io/0x991bc95d32858b7eacfc2c66415be0a7a01e82fd
20,0x10a1a1464ac7ae21af29a2b901358ae663f4d3de,https://opensea.io/0x10a1a1464ac7ae21af29a2b901358ae663f4d3de
20,0xcfc3aa80fce148fee71cf86f61d0d6b0ccbba879,https://opensea.io/0xcfc3aa80fce148fee71cf86f61d0d6b0ccbba879
20,0x888e0a88118fdc46f6b2db5ad5ef53f74c33ab13,https://opensea.io/0x888e0a88118fdc46f6b2db5ad5ef53f74c33ab13
20,0xacb191cca5bdd0e94f36429f3a12b050a7dc0538,https://opensea.io/0xacb191cca5bdd0e94f36429f3a12b050a7dc0538
20,0x91363073fc1ccb04189a1bbce1a575190aab885c,https://opensea.io/0x91363073fc1ccb04189a1bbce1a575190aab885c
20,0xde3f0202f976b92584e1dd324d9cd60fe068cde9,https://opensea.io/0xde3f0202f976b92584e1dd324d9cd60fe068cde9
19,0x463ff9b3abf5787b0c3103a559addbb4050c1ded,https://opensea.io/0x463ff9b3abf5787b0c3103a559addbb4050c1ded
19,0x109aa5b178b8f0468b95835c7b9aeedf0535e672,https://opensea.io/0x109aa5b178b8f0468b95835c7b9aeedf0535e672
19,0x2687b8f2762d557fbc8cfbb5a73aee71fdd5c604,https://opensea.io/0x2687b8f2762d557fbc8cfbb5a73aee71fdd5c604
19,0xefa131b185de4f8965b9c1a6f02e6264cac36a28,https://opensea.io/0xefa131b185de4f8965b9c1a6f02e6264cac36a28
19,0xffe296bbbc86dfac056b42c6180d9f8b4cb412aa,https://opensea.io/0xffe296bbbc86dfac056b42c6180d9f8b4cb412aa
18,0x1ec9503bbdad721ef3ad485b4b14ce0671dc9925,https://opensea.io/0x1ec9503bbdad721ef3ad485b4b14ce0671dc9925
18,0x76fd3b1c514375ab9614f3881f3aa2dc5e098823,https://opensea.io/0x76fd3b1c514375ab9614f3881f3aa2dc5e098823
18,0x0d3fc68ca620bcfac48f18d75c6b6a8b0ffb8fbb,https://opensea.io/0x0d3fc68ca620bcfac48f18d75c6b6a8b0ffb8fbb
18,0xa103c46738363e88f355f13010920925fe8a7d80,https://opensea.io/0xa103c46738363e88f355f13010920925fe8a7d80
18,0x69b468c3f5c92907c7ef6cbbc6b84fd2e735d0cb,https://opensea.io/0x69b468c3f5c92907c7ef6cbbc6b84fd2e735d0cb
17,0xf1f0d3f9da9e95cd3ce28b731612e671d99d2907,https://opensea.io/0xf1f0d3f9da9e95cd3ce28b731612e671d99d2907
17,0xdf503a65b1430636808d3e898c389780c66f305d,https://opensea.io/0xdf503a65b1430636808d3e898c389780c66f305d
16,0x0a206d4d5ff79cb5069def7fe3598421cff09391,https://opensea.io/0x0a206d4d5ff79cb5069def7fe3598421cff09391
16,0x8bb6b0ae7ab0db8e71aeb365a6824d790fb36137,https://opensea.io/0x8bb6b0ae7ab0db8e71aeb365a6824d790fb36137
16,0xbaaba861464f25f52c2ee10cc3ac024f4f77812a,https://opensea.io/0xbaaba861464f25f52c2ee10cc3ac024f4f77812a
15,0x103734719df360360047d9eb0bda95f54dded557,https://opensea.io/0x103734719df360360047d9eb0bda95f54dded557
15,0x004cad75155af30b36b33358047604b8a9227f6c,https://opensea.io/0x004cad75155af30b36b33358047604b8a9227f6c
15,0xcbb2534c6898655d50fdac79d6e4b23b18a25b97,https://opensea.io/0xcbb2534c6898655d50fdac79d6e4b23b18a25b97
