Number Held,Address,Opensea
130,0xed0291230bd9ce8752bc5c774735b839fb1f7759,https://opensea.io/0xed0291230bd9ce8752bc5c774735b839fb1f7759
42,0x9d85e33bb8f80dcf7f40d4307e64752a95779266,https://opensea.io/0x9d85e33bb8f80dcf7f40d4307e64752a95779266
33,0xaa8cdc25e3d1a4c4ee007595a9ca6b77b87f4600,https://opensea.io/0xaa8cdc25e3d1a4c4ee007595a9ca6b77b87f4600
16,0xe2a0a79bdc6e61e51a3eae8ed288065fcccf867b,https://opensea.io/0xe2a0a79bdc6e61e51a3eae8ed288065fcccf867b
14,0xbc06d4f53d9d1b8257b89e0fa6168dc7b1f04ce7,https://opensea.io/0xbc06d4f53d9d1b8257b89e0fa6168dc7b1f04ce7
14,0xd9c61c6a41cb78ee8124111be112d352a7cf13c1,https://opensea.io/0xd9c61c6a41cb78ee8124111be112d352a7cf13c1
11,0xd3d5c90a1c0cc87a3a139e87a6a2a6536adbab10,https://opensea.io/0xd3d5c90a1c0cc87a3a139e87a6a2a6536adbab10
10,0xcf815caa0ce4dfba248ff328b9b5282a87e26a89,https://opensea.io/0xcf815caa0ce4dfba248ff328b9b5282a87e26a89
10,0x8f3c6aab1f3b29f61bf860cb766ce0f6f2477935,https://opensea.io/0x8f3c6aab1f3b29f61bf860cb766ce0f6f2477935
10,0xa2e87bf4e4edc28922736887772c351de5554b77,https://opensea.io/0xa2e87bf4e4edc28922736887772c351de5554b77
9,0xcbb2534c6898655d50fdac79d6e4b23b18a25b97,https://opensea.io/0xcbb2534c6898655d50fdac79d6e4b23b18a25b97
8,0x7f64752891c1f6609fbbfcc6c11b7d7b5fe2875e,https://opensea.io/0x7f64752891c1f6609fbbfcc6c11b7d7b5fe2875e
7,0x92a2eac2d5d442e489597cdbfef75514fb97b4c0,https://opensea.io/0x92a2eac2d5d442e489597cdbfef75514fb97b4c0
7,0x8b5b9a7a17bc143913f29dd40a07f0b2962653f7,https://opensea.io/0x8b5b9a7a17bc143913f29dd40a07f0b2962653f7
7,0x8d9b95d0da1fbe18fde77f013382857396a9f056,https://opensea.io/0x8d9b95d0da1fbe18fde77f013382857396a9f056
7,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,https://opensea.io/0x29b1b2d083456fd07b19649f8b85f9927a29b1ab
7,0x30e474d8bf65c9642ad297e83bf389ec51b674c9,https://opensea.io/0x30e474d8bf65c9642ad297e83bf389ec51b674c9
7,0x2715ef6cc358c87131796058fe65d51a8e29f3c6,https://opensea.io/0x2715ef6cc358c87131796058fe65d51a8e29f3c6
6,0x3593bd7b5a4376455378c7b13340745b70bce908,https://opensea.io/0x3593bd7b5a4376455378c7b13340745b70bce908
6,0xaa96a50a2f67111262fe24576bd85bb56ec65016,https://opensea.io/0xaa96a50a2f67111262fe24576bd85bb56ec65016
6,0x12a0cb5872d3de2495a6419d1c7c1fa174a1fb6d,https://opensea.io/0x12a0cb5872d3de2495a6419d1c7c1fa174a1fb6d
