Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
aardvark,0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39763776720595566635816789206567554131482344802972790217888301981417640175478,2017-05-29 11:08:40,2020-09-07 22:25:38,2024-09-07 22:14:50,2024-12-06 22:14:50,2024-12-27 22:14:50
abyssinian,0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/71463094376312401324211340237839066254753530233236152085388013196262326049375,2020-06-18 03:56:16,2020-06-18 03:56:16,2024-06-18 03:56:16,2024-09-16 03:56:16,2024-10-07 03:56:16
adeliepenguin,,13,Never Registered,,https://app.ens.domains/name/adeliepenguin.eth/register,,,,,
affenpinscher,,13,Never Registered,,https://app.ens.domains/name/affenpinscher.eth/register,,,,,
afghanhound,0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1,11,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/105250717720145354646885722612584635744258379394227530354733746410955031681606,2019-08-23 19:06:53,2020-02-04 05:19:03,2024-08-23 01:06:53,2024-11-21 01:06:53,2024-12-12 01:06:53
africanbushelephant,,19,Never Registered,,https://app.ens.domains/name/africanbushelephant.eth/register,,,,,
africancivet,,12,Never Registered,,https://app.ens.domains/name/africancivet.eth/register,,,,,
africanclawedfrog,,17,Never Registered,,https://app.ens.domains/name/africanclawedfrog.eth/register,,,,,
africanforestelephant,,21,Never Registered,,https://app.ens.domains/name/africanforestelephant.eth/register,,,,,
africanpalmcivet,,16,Never Registered,,https://app.ens.domains/name/africanpalmcivet.eth/register,,,,,
africanpenguin,,14,Never Registered,,https://app.ens.domains/name/africanpenguin.eth/register,,,,,
africantreetoad,,15,Never Registered,,https://app.ens.domains/name/africantreetoad.eth/register,,,,,
africanwilddog,,14,Never Registered,,https://app.ens.domains/name/africanwilddog.eth/register,,,,,
ainudog,,7,Never Registered,,https://app.ens.domains/name/ainudog.eth/register,,,,,
