Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0th,0x3eb40ff639cc44940b7c85d9ab732d8ca67edd65,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76460133945269024474267972591302868200774039785866667394011270953660746603550,2021-11-12 17:57:29,2021-11-12 17:57:29,2024-11-12 11:25:05,2025-02-10 11:25:05,2025-03-03 11:25:05
1st,0x2ea859e47c5c78fa830033786bfdee7bf8f23d25,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/51252498395639364649761740294252023543334633287540807397485286070865788829798,2017-07-21 14:51:20,2022-02-26 17:41:10,2025-02-26 11:08:46,2025-05-27 11:08:46,2025-06-17 11:08:46
2nd,0xf19f82f4160d0254ee28f10994c1f7903cda6259,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1580499168522770160072064093891412075845021093797271026232114667124914122702,2021-11-15 01:23:49,2021-11-15 01:23:49,2022-11-15 07:13:01,2023-02-13 07:13:01,2023-03-06 07:13:01
3rd,0xcffbc6ba1b99972d5a94cadbfab489dde53c3e3a,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3549053401972129287000457792782655898170182577996006504142320016007680484885,2021-11-15 06:35:25,2021-11-15 06:35:25,2022-11-15 12:24:37,2023-02-13 12:24:37,2023-03-06 12:24:37
4th,0xb337db5f56fb84cbe3286ca8073b6aa16c64cf15,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111633678862502990669911232691493431932465965732173286016268036333606981045838,2022-01-10 00:44:03,2022-01-10 00:44:03,2023-01-10 06:33:15,2023-04-10 06:33:15,2023-05-01 06:33:15
5th,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/66894784278861449244297695179269360266009410318522802336750852813649003674144,2022-01-10 20:24:54,2022-01-10 20:24:54,2023-01-11 02:14:06,2023-04-11 02:14:06,2023-05-02 02:14:06
6th,0x6d04403de6dd8952d683fb02f5fba591419c9556,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/51005469745625474911679254775026828229043182773443770348998151098265416398287,2022-02-06 19:57:22,2022-02-06 19:57:22,2023-02-07 01:46:34,2023-05-08 01:46:34,2023-05-29 01:46:34
7th,0x6d04403de6dd8952d683fb02f5fba591419c9556,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63919230047200557014679951138399532687499051110623796880120009206763098661205,2022-02-06 20:07:03,2022-02-06 20:07:03,2023-02-07 01:56:15,2023-05-08 01:56:15,2023-05-29 01:56:15
8th,0x57ed92250f2f75571ea2fbba63b43440f6147abf,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7843835036337153263949328580659736104035508358559212069540900910042255811692,2021-12-03 15:13:05,2021-12-03 15:13:05,2022-12-03 21:02:17,2023-03-03 21:02:17,2023-03-24 21:02:17
9th,0x6d04403de6dd8952d683fb02f5fba591419c9556,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86670005902065966872433425662979361251497036194430193645553045529874367081018,2022-02-06 19:57:22,2022-02-06 19:57:22,2023-02-07 01:46:34,2023-05-08 01:46:34,2023-05-29 01:46:34
