Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
afghanistan,0x9244b806744709d9c607a5e98e8f553d2467418a,11,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86696669057552344113666108728582835897068117275675324159062198398078501434672,2017-06-21 17:46:24,2020-02-05 01:22:05,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
ålandislands,,13,Never Registered,,https://app.ens.domains/name/ålandislands.eth/register,,,,,
albania,0x03d077be51b41f896b82704adc4ae66df96f5830,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/41672059085510934840474418227852001322223605404054523013078493405697012773257,2017-05-31 03:02:41,2020-08-29 19:37:43,2022-08-30 07:16:07,2022-11-28 07:16:07,2022-12-19 07:16:07
algeria,0x9244b806744709d9c607a5e98e8f553d2467418a,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43399049815013891020712596354516717260965746571110941806446418339170166728696,2017-05-31 13:49:29,2020-02-05 17:17:38,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
americansamoa,0xa7383918cbd43a73d2391a09fdd429b832b2e2f6,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/10205958999951207443163788796787187382094676170429215191921740278861641234491,2017-05-22 14:38:49,2020-02-05 00:09:30,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
andorra,0x32d90d471f143b055d5db72be9647e2be8d8f5eb,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/65477120465303416293622339331211637596231508865152829080860952701849411176377,2017-06-10 11:16:49,2020-08-29 08:40:14,2024-08-29 07:57:02,2024-11-27 07:57:02,2024-12-18 07:57:02
angola,0x00bec19a4149ec55ab8582ac7914b5a928a6e8f8,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/71215131837246872185268986478292497995277067720619586289245925284635187398904,2019-10-17 03:44:19,2020-02-06 04:23:43,2026-10-16 14:39:31,2027-01-14 14:39:31,2027-02-04 14:39:31
anguilla,0xcdbcf91e870db5eaaf62ba29c8c7a91cf27369f6,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/51601631551625251289849366888588169339148217686008470459684623205114770696968,2017-06-05 19:49:29,2020-08-29 16:38:35,2023-08-30 10:06:11,2023-11-28 10:06:11,2023-12-19 10:06:11
antarctica,0x32d90d471f143b055d5db72be9647e2be8d8f5eb,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39777484076308004334953531663700006221028599678754996113725279031294944595836,2017-05-29 11:54:19,2020-08-29 08:39:41,2024-08-29 07:56:29,2024-11-27 07:56:29,2024-12-18 07:56:29
antiguaandbarbuda,0xd67d9e817aa9a1e4d00568e9445a9e6d0dd18c8b,17,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9926665850784847640900937435004393990002899336402587172559006383638853719002,2017-05-22 14:38:02,2020-10-07 23:19:06,2022-10-08 10:57:30,2023-01-06 10:57:30,2023-01-27 10:57:30
