Number Held,Address,Opensea
27,0x9244b806744709d9c607a5e98e8f553d2467418a,https://opensea.io/0x9244b806744709d9c607a5e98e8f553d2467418a
10,0xa7383918cbd43a73d2391a09fdd429b832b2e2f6,https://opensea.io/0xa7383918cbd43a73d2391a09fdd429b832b2e2f6
10,0xab48edd90bdf367d326d827758bacd2460c59d17,https://opensea.io/0xab48edd90bdf367d326d827758bacd2460c59d17
9,0x386df19524d39c6f4e87241810b8dd67ed63b2e5,https://opensea.io/0x386df19524d39c6f4e87241810b8dd67ed63b2e5
8,0x32d90d471f143b055d5db72be9647e2be8d8f5eb,https://opensea.io/0x32d90d471f143b055d5db72be9647e2be8d8f5eb
8,0xcdbcf91e870db5eaaf62ba29c8c7a91cf27369f6,https://opensea.io/0xcdbcf91e870db5eaaf62ba29c8c7a91cf27369f6
8,0x2b6247079ddd8e81b34093e911284253bd455ef6,https://opensea.io/0x2b6247079ddd8e81b34093e911284253bd455ef6
8,0x449ab4437c8a41fad0a91885a5905fd36f408a0a,https://opensea.io/0x449ab4437c8a41fad0a91885a5905fd36f408a0a
6,0xd67d9e817aa9a1e4d00568e9445a9e6d0dd18c8b,https://opensea.io/0xd67d9e817aa9a1e4d00568e9445a9e6d0dd18c8b
6,0xbee7f7795d90dcf976cd2990cb5f79fae9207419,https://opensea.io/0xbee7f7795d90dcf976cd2990cb5f79fae9207419
6,0x51aba267a6e8e1e76b44183a73e881d73a102f26,https://opensea.io/0x51aba267a6e8e1e76b44183a73e881d73a102f26
6,0xa52899a1a8195c3eef30e0b08658705250e154ae,https://opensea.io/0xa52899a1a8195c3eef30e0b08658705250e154ae
5,0x03d077be51b41f896b82704adc4ae66df96f5830,https://opensea.io/0x03d077be51b41f896b82704adc4ae66df96f5830
5,0x140ef05a724ca161d49ffe8d97d35571289fa5c4,https://opensea.io/0x140ef05a724ca161d49ffe8d97d35571289fa5c4
4,0x1f9c6ea5159c8d973294eb19b145b6c3fab39dd0,https://opensea.io/0x1f9c6ea5159c8d973294eb19b145b6c3fab39dd0
4,0xaa18d971366fabc5f576b7c71a25ab6d62c149b3,https://opensea.io/0xaa18d971366fabc5f576b7c71a25ab6d62c149b3
4,0xc03e57b6ace9dd62c84a095e11e494e3c8fd4d42,https://opensea.io/0xc03e57b6ace9dd62c84a095e11e494e3c8fd4d42
3,0x00bec19a4149ec55ab8582ac7914b5a928a6e8f8,https://opensea.io/0x00bec19a4149ec55ab8582ac7914b5a928a6e8f8
3,0xe76abd23e218ceeb1dc1f77b378120a167f76272,https://opensea.io/0xe76abd23e218ceeb1dc1f77b378120a167f76272
