Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
walmartstores,0xe140cc04b47472320a29c355e63dd6718b85d222,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15515952488080265522148493610212405359410348714381444963611311863057928518461,2017-05-18 16:05:11,2022-03-30 20:03:25,2029-03-30 12:47:49,2029-06-28 12:47:49,2029-07-19 12:47:49
chevron,0x54e80390434b8bfcabc823e9656c57d018c1dc77,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92244911465992894445018842057994135883072932259360355043376539189533160368527,2017-06-23 18:47:10,2020-02-06 17:30:55,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
philipmorris,0xd9568b97ddc98c2bb55261b88240de698b9f974c,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16154957633870131569647853583015734797368256801449971486698602306657221551920,2017-05-18 01:04:46,2021-08-23 10:35:13,2025-08-23 09:52:01,2025-11-21 09:52:01,2025-12-12 09:52:01
aig,0x653d2a2d306f337ef7de99fb9b507b92c3542d92,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29412917654607422380617817931346908018373473297662278838182497162372191126498,2019-11-12 14:22:31,2021-03-09 19:29:37,2023-03-10 07:08:01,2023-06-08 07:08:01,2023-06-29 07:08:01
aep,0xa70562293656b6b11806bbc157d39ce8b7c26009,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29810293829798751303355980387696344705561405994115549554200771766605913199193,2021-10-11 01:18:05,2021-10-11 01:18:05,2022-10-11 07:07:17,2023-01-09 07:07:17,2023-01-30 07:07:17
boeing,0x9464ad2b6cb0be22866f173efb4c375c149e93fe,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/113269520983988700176285524982336881767333158565327950485641710849450680804170,2019-10-19 16:24:50,2020-02-06 00:48:26,2025-10-18 21:30:50,2026-01-16 21:30:50,2026-02-06 21:30:50
elpaso,0xd424df923ddf58397da5e5fdd267cb62eb0d4f42,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3660040084008769522919609243652171100623715170976583750641197256406861311834,2019-09-29 03:49:26,2020-02-07 12:44:37,2026-09-28 14:44:38,2026-12-27 14:44:38,2027-01-17 14:44:38
homedepot,0x6488ea4a5177adc1b150bb7c13944ed3ab6a85a6,9,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/20674252944696835307439457873576429024665433187522560146270508621727633430372,2017-05-19 08:58:14,2020-02-05 16:08:29,2026-06-16 10:30:57,2026-09-14 10:30:57,2026-10-05 10:30:57
jpmorganchase,0x54e80390434b8bfcabc823e9656c57d018c1dc77,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/113619948362651777169046626609357312858057620246589503220122374427384249299333,2017-07-03 16:31:38,2020-02-07 17:49:28,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
cardinal,0xe419fb0e04da046a7d850381018867b79a2cf506,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/14014547478212120070345311693231978773516020852218361987868319533892083820361,2017-05-17 19:36:49,2020-02-05 23:40:05,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
merck,0x9464ad2b6cb0be22866f173efb4c375c149e93fe,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111578592843375361647737289346020223804337947272817285277556738122283583877392,2019-10-19 14:04:50,2020-02-04 16:15:34,2025-10-18 19:10:50,2026-01-16 19:10:50,2026-02-06 19:10:50
statefarm,0x182ee7ab75651c10921df72da3ea2ae077bdf65f,9,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15911135258144646319121655542734778811497613079443193035478887165728834858630,2017-05-17 00:48:37,2020-02-05 21:41:27,2023-02-27 19:00:00,2023-05-28 19:00:00,2023-06-18 19:00:00
mckesson,0x621bccf4a480ffe164491cc1620fadeb60e5da76,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12610364942308925852996643753114810059467994140076331029960618473069672176468,2017-05-15 18:48:18,2020-02-05 15:04:12,2022-06-16 13:46:52,2022-09-14 13:46:52,2022-10-05 13:46:52
albertsons,0x5275b9068d54c5590fbb61d8e959931b813084a5,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5628066489340844914763782521834926981697789646632965007156578050759318256227,2017-05-12 18:53:13,2020-08-29 11:34:16,2024-08-29 10:51:04,2024-11-27 10:51:04,2024-12-18 10:51:04
freddiemac,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/110050807415587884416408581486070950865690035807893678562206254181339781856260,2017-07-03 11:14:30,2020-02-05 00:08:22,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
jnj,0x5e8ab78efa529662f77e9a23f0f437738f3311f5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18946179058684622245932050623722475592814523305756254002972508831012177286050,2019-11-07 00:56:39,2021-03-11 15:10:27,2023-03-12 03:48:51,2023-06-10 03:48:51,2023-07-01 03:48:51
conoco,0x516f381d6c94110cde63f3266b779065525096f7,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/10001696794559519459936706548608480092505802869483931846591950477807217458751,2020-08-04 09:55:52,2020-08-04 09:55:52,2022-08-04 21:34:16,2022-11-02 21:34:16,2022-11-23 21:34:16
pfizer,0xf7fed7bdc5b6abb2439aa22dafd00d54fd9509fc,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/51652572755148706630307636898534252691189806559205851515785027522012467022570,2019-10-16 00:18:43,2020-02-07 01:49:58,2040-10-14 20:42:43,2041-01-12 20:42:43,2041-02-02 20:42:43
jcpenney,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/81607145664930743779122210818149106247318504778116015352147070825641793362996,2017-06-18 05:57:31,2020-02-07 14:37:34,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
metlife,0x3182c1c22e7d083c2073a64a71e7ae6b3b4d2e1a,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32789654702199527217802074857662012793331856486287788617877218269385397469071,2017-05-25 03:39:12,2020-02-03 18:58:11,2046-05-04 03:19:12,2046-08-02 03:19:12,2046-08-23 03:19:12
motorola,0xc3baa0fa5f21af0157548bebf57028516fca7a71,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/106202769169965699143095764417951297713372851366299993952174260859748152899246,2017-06-30 13:48:48,2020-08-29 17:43:35,2041-08-29 19:56:47,2041-11-27 19:56:47,2041-12-18 19:56:47
allstate,0x54e80390434b8bfcabc823e9656c57d018c1dc77,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/88438723522793833562089603040852116823273133706818518640854473232004654853121,2017-06-22 05:36:12,2020-02-05 23:32:08,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
txu,0x041c36713d3142b520aed45cbd3ffc5b91311eef,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12166800759245001191022894559543129879104966883401341950892987762384525087424,2022-05-02 16:28:54,2022-05-02 16:28:54,2022-05-30 16:33:25,2022-08-28 16:33:25,2022-09-18 16:33:25
utc,0x6be3c1db95efd407d4f77b29389843e7c557f051,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13770769542560316553261873884324423319999125692933079783145016072689069618949,2019-10-29 16:22:44,2021-09-02 22:32:15,2022-09-03 04:21:27,2022-12-02 04:21:27,2022-12-23 04:21:27
dow,0x02bb6041d8620b3547d3c3604e159b4b8968ef84,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16716843728139025407366437618996248804522690351421303073643796736302426817717,2021-02-06 15:25:54,2021-02-06 15:25:54,2023-02-07 03:04:18,2023-05-08 03:04:18,2023-05-29 03:04:18
conagra,0x5807a8b404c71cf22eb0bac2e5f2a6c202ebe0a1,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57849310580819017662085826159935391106753470473403389008737127959659029986824,2017-06-06 18:55:33,2020-02-06 14:19:29,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
