Number Held,Address,Opensea
158,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,https://opensea.io/0x8217cc277a8edfda132a0123761e1d2aa795ecc6
64,0x122c2f601a2f47b4ccab68a838213b1036485d68,https://opensea.io/0x122c2f601a2f47b4ccab68a838213b1036485d68
32,0x43b4fba85628566d62a3b83c8f1df309bcf08983,https://opensea.io/0x43b4fba85628566d62a3b83c8f1df309bcf08983
32,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,https://opensea.io/0x0075601db47c244cf3a3cda72f64a0e3fe12dd12
30,0x3e390b35700bbbb9a36024f554f8b89c354175a1,https://opensea.io/0x3e390b35700bbbb9a36024f554f8b89c354175a1
25,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,https://opensea.io/0x47a710fa6bed241a8ef0080f10cad9a90bd670ca
24,0x0ba64fe0ed7cede265336a74de92a25e143504aa,https://opensea.io/0x0ba64fe0ed7cede265336a74de92a25e143504aa
24,0xb5ccf9c42eb80690eef542b007dcc015e99ed992,https://opensea.io/0xb5ccf9c42eb80690eef542b007dcc015e99ed992
19,0xf8442ae38a8246f425b7928fb60fd61bbdf5d459,https://opensea.io/0xf8442ae38a8246f425b7928fb60fd61bbdf5d459
17,0x2384040345a48a9766e94ffb97c2c9a63db7a635,https://opensea.io/0x2384040345a48a9766e94ffb97c2c9a63db7a635
16,0x3154e4afe2ff0f30e482c2f4488fc066bb70fff2,https://opensea.io/0x3154e4afe2ff0f30e482c2f4488fc066bb70fff2
15,0x95cff92d71f55b69bdcb41fd33f3c6a323debccc,https://opensea.io/0x95cff92d71f55b69bdcb41fd33f3c6a323debccc
14,0x6285b0727fdaf31cd1ba9fa8d5cddccb02fa5f6c,https://opensea.io/0x6285b0727fdaf31cd1ba9fa8d5cddccb02fa5f6c
14,0x0f4bc970e348a061b69d05b7e2e5c13eb687e5e3,https://opensea.io/0x0f4bc970e348a061b69d05b7e2e5c13eb687e5e3
13,0x86649d69a96e82b346c1cb31ff7fafb00ec8983d,https://opensea.io/0x86649d69a96e82b346c1cb31ff7fafb00ec8983d
13,0xf1a06ebabb728773f48ee48be7049bb441faef84,https://opensea.io/0xf1a06ebabb728773f48ee48be7049bb441faef84
12,0x0d6c53044bb559c541fc3eb944211fd0d08686f4,https://opensea.io/0x0d6c53044bb559c541fc3eb944211fd0d08686f4
12,0x6c9ae5eed0ba364164a0f73d929ab328eee9fca3,https://opensea.io/0x6c9ae5eed0ba364164a0f73d929ab328eee9fca3
10,0x1dc09501ae209f8cc15b3b7090084c72855d95bd,https://opensea.io/0x1dc09501ae209f8cc15b3b7090084c72855d95bd
10,0xbcdb0116ad05d4569b01117dbb489055d12fdbbc,https://opensea.io/0xbcdb0116ad05d4569b01117dbb489055d12fdbbc
10,0x8168eb79738e9fa034ab95b156047149277dc2f0,https://opensea.io/0x8168eb79738e9fa034ab95b156047149277dc2f0
10,0xeac937f5130f5ea50fd394bf5e54e6d16cda8495,https://opensea.io/0xeac937f5130f5ea50fd394bf5e54e6d16cda8495
10,0x1e93441fe945e7ab2cef198a2f51e0135e2ccf43,https://opensea.io/0x1e93441fe945e7ab2cef198a2f51e0135e2ccf43
10,0x661f257d22ba65fce0c01f5c255a21320504098a,https://opensea.io/0x661f257d22ba65fce0c01f5c255a21320504098a
10,0x4e946a7bae4e1b00e756f1a3649bbf4cd6ea15a8,https://opensea.io/0x4e946a7bae4e1b00e756f1a3649bbf4cd6ea15a8
9,0x76c9254a8f599b13d53a11724fbc6fcd08b25ed6,https://opensea.io/0x76c9254a8f599b13d53a11724fbc6fcd08b25ed6
9,0xc36817163b7eaef25234e1d18adbfa52105ae510,https://opensea.io/0xc36817163b7eaef25234e1d18adbfa52105ae510
9,0x42f9d5a35ae9aba2300cba864f2dd8311bc7a429,https://opensea.io/0x42f9d5a35ae9aba2300cba864f2dd8311bc7a429
8,0x97a95b10a62e8bf27cc29cc6034cec36bc0b9dc6,https://opensea.io/0x97a95b10a62e8bf27cc29cc6034cec36bc0b9dc6
8,0x4125ee252abb4c2928d92fb702e86d0ab73cd37b,https://opensea.io/0x4125ee252abb4c2928d92fb702e86d0ab73cd37b
8,0xc4ea203e2eb096c4d949b9a64a5d49c0a8a1d8b3,https://opensea.io/0xc4ea203e2eb096c4d949b9a64a5d49c0a8a1d8b3
