Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0x-a,0x4e66480255bd6b6e7e778911de2d842ec7d835de,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47894631804711380183824449032599687374289239807606096925436178279940703008056,2022-05-02 17:01:40,2022-05-02 17:01:40,2023-05-02 22:50:52,2023-07-31 22:50:52,2023-08-21 22:50:52
0x-b,0x902f39d092f866abdfa0320f91b47e7222a13dd9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/14306215937675736484965645344372274557011244156681908395727956427567741737404,2022-05-03 20:15:54,2022-05-03 20:15:54,2023-05-04 02:05:06,2023-08-02 02:05:06,2023-08-23 02:05:06
0x-c,0x9cf0b5e055290afa64dc1119f0e9a361ff01f1a2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/4585092663613119037354064995163740464468940049248196397892878669779399921172,2022-05-05 05:32:38,2022-05-05 05:32:38,2022-06-10 18:07:33,2022-09-08 18:07:33,2022-09-29 18:07:33
0x-d,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/42280675247901879204470656974898055751648907533936535906667021834265932382708,2022-05-07 20:54:35,2022-05-07 20:54:35,2022-07-19 22:04:25,2022-10-17 22:04:25,2022-11-07 22:04:25
0x-e,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/40899335620071437124605861190133477998234875659605943654572357979246163358107,2022-05-07 19:08:44,2022-05-07 19:08:44,2022-07-19 20:18:34,2022-10-17 20:18:34,2022-11-07 20:18:34
0x-f,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/6269289712155494546115021697790769411808077637733624508244556813928739367022,2022-05-07 20:52:20,2022-05-07 20:52:20,2022-07-19 22:02:10,2022-10-17 22:02:10,2022-11-07 22:02:10
0x-g,0x71a7670def3a01a4f2a5b91d48c4456e8a3e6554,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18323065327349467675430309614105866022312512583538700967628330135930086249668,2022-05-07 11:16:55,2022-05-07 11:16:55,2023-05-07 17:06:07,2023-08-05 17:06:07,2023-08-26 17:06:07
0x-h,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15182328957307456780723286380344938905205172763020730537716184987384746239569,2022-05-07 21:32:40,2022-05-07 21:32:40,2022-07-19 22:42:30,2022-10-17 22:42:30,2022-11-07 22:42:30
0x-i,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78182694022006043622826399394963357046047283689805522609479528277361297649505,2022-05-07 19:04:10,2022-05-07 19:04:10,2022-07-19 20:14:00,2022-10-17 20:14:00,2022-11-07 20:14:00
0x-j,,4,Never Registered,,https://app.ens.domains/name/0x-j.eth/register,,,,,
0x-k,0xe5d4924413ae59ae717358526bbe11bb4a5d76b9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61476943221025001078081461214842875041179025763659492364052335423354221288579,2022-04-30 04:44:03,2022-04-30 04:44:03,2023-04-30 10:33:15,2023-07-29 10:33:15,2023-08-19 10:33:15
0x-l,,4,Never Registered,,https://app.ens.domains/name/0x-l.eth/register,,,,,
0x-m,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85149820154600259924493906806924323763525319800900911248912137743475934360289,2022-05-07 19:55:30,2022-05-07 19:55:30,2022-07-19 21:05:20,2022-10-17 21:05:20,2022-11-07 21:05:20
0x-n,,4,Never Registered,,https://app.ens.domains/name/0x-n.eth/register,,,,,
0x-o,0x9cf0b5e055290afa64dc1119f0e9a361ff01f1a2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/19924015570135759778718297552691088755559629494479281082095645410166365044388,2022-05-05 05:32:57,2022-05-05 05:32:57,2022-06-10 18:07:52,2022-09-08 18:07:52,2022-09-29 18:07:52
0x-p,,4,Never Registered,,https://app.ens.domains/name/0x-p.eth/register,,,,,
0x-q,,4,Never Registered,,https://app.ens.domains/name/0x-q.eth/register,,,,,
0x-r,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7291399096958944154656269437044992461077594893125850071703299139207740345715,2022-05-07 21:13:53,2022-05-07 21:13:53,2022-07-19 22:23:43,2022-10-17 22:23:43,2022-11-07 22:23:43
0x-s,0x902f39d092f866abdfa0320f91b47e7222a13dd9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/48098484721481158896309646788944776023328034521475728236731172546216624126739,2022-05-04 20:47:34,2022-05-04 20:47:34,2023-05-05 02:36:46,2023-08-03 02:36:46,2023-08-24 02:36:46
0x-t,0xe7802d58698e0f69219b82e140208fc2108fbfbb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/49663567959484374126035230947426158909495129282562309757537369098809878972567,2022-05-05 05:02:37,2022-05-05 05:02:37,2023-05-05 10:51:49,2023-08-03 10:51:49,2023-08-24 10:51:49
0x-u,,4,Never Registered,,https://app.ens.domains/name/0x-u.eth/register,,,,,
0x-v,0x7feb19b7fc9975a29100c698d97ce1f127382db0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47908947725425954354661247447977625463178598007981450510633842836203728297385,2022-05-07 21:17:18,2022-05-07 21:17:18,2022-07-19 22:27:08,2022-10-17 22:27:08,2022-11-07 22:27:08
0x-w,0x9cf0b5e055290afa64dc1119f0e9a361ff01f1a2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/94743819089311736013919711882238690464761080265174651516183014586009240245730,2022-05-05 05:32:25,2022-05-05 05:32:25,2022-06-10 18:07:20,2022-09-08 18:07:20,2022-09-29 18:07:20
0x-x,0xcbdf297184d57149773b5f39de40e4d46914716a,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/60183231821274301354699766144268459440037331334291230192439706812338998243403,2022-05-02 18:22:56,2022-05-02 18:22:56,2024-05-02 06:01:20,2024-07-31 06:01:20,2024-08-21 06:01:20
0x-y,0xa4b34cf85f6740706c14ae4d8002a8084913bc6f,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/67516106154274971866021661033487232335605026732404531543044423443475544545232,2022-05-05 05:45:54,2022-05-05 05:45:54,2022-06-10 18:20:49,2022-09-08 18:20:49,2022-09-29 18:20:49
0x-z,0x9cf0b5e055290afa64dc1119f0e9a361ff01f1a2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/108941460872097860218112246727493057621064243405989028816495872096393088030242,2022-05-02 13:12:21,2022-05-02 13:12:21,2023-05-02 19:01:33,2023-07-31 19:01:33,2023-08-21 19:01:33
