Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0x-0,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/100810108440365104683769946388513664055715127063412353269100385055735218242248,2022-04-30 01:41:22,2022-04-30 01:41:22,2023-04-30 07:30:34,2023-07-29 07:30:34,2023-08-19 07:30:34
0x-1,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/77822743712594432481569065409180928718859148700261306941144256990410176825293,2022-04-30 01:41:25,2022-04-30 01:41:25,2023-04-30 07:30:37,2023-07-29 07:30:37,2023-08-19 07:30:37
0x-2,0x62dbf1ab75d09c05378e2a230788074d6f558beb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44622379420107763787729566596311747356186861556851533625905879844870168850432,2022-05-01 14:51:03,2022-05-01 14:51:03,2023-05-01 20:40:15,2023-07-30 20:40:15,2023-08-20 20:40:15
0x-3,0x62dbf1ab75d09c05378e2a230788074d6f558beb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61225489278091189879348509323363241928319074138756772896359888839437206511751,2022-05-01 14:40:54,2022-05-01 14:40:54,2023-05-01 20:30:06,2023-07-30 20:30:06,2023-08-20 20:30:06
0x-4,0x902f39d092f866abdfa0320f91b47e7222a13dd9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8469679713195177649546132258911936804089678729319148739540229502908051252178,2022-05-02 09:55:45,2022-05-02 09:55:45,2023-05-02 15:44:57,2023-07-31 15:44:57,2023-08-21 15:44:57
0x-5,0x902f39d092f866abdfa0320f91b47e7222a13dd9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/80756729196100522338372233434800072192686913087878446920247973524698327369789,2022-05-02 09:38:32,2022-05-02 09:38:32,2023-05-02 15:27:44,2023-07-31 15:27:44,2023-08-21 15:27:44
0x-6,0x62dbf1ab75d09c05378e2a230788074d6f558beb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/59113525197185493899100365723087128529635139858520038335143439137907448119847,2022-05-01 15:20:02,2022-05-01 15:20:02,2023-05-01 21:09:14,2023-07-30 21:09:14,2023-08-20 21:09:14
0x-7,0x902f39d092f866abdfa0320f91b47e7222a13dd9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/6276156597398286357327863516098880477109489817024289751396370971091989041178,2022-05-02 01:28:13,2022-05-02 01:28:13,2023-05-30 10:15:30,2023-08-28 10:15:30,2023-09-18 10:15:30
0x-8,0x902f39d092f866abdfa0320f91b47e7222a13dd9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78295458836244759742131654398515653739898748494184380723859464354320496611501,2022-05-01 11:15:57,2022-05-01 11:15:57,2023-06-07 05:40:04,2023-09-05 05:40:04,2023-09-26 05:40:04
0x-9,0x57736bc80fb00d2337e103033148367fc0825044,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35339595442911330021833378146234778235965926813888894646616778398403348042997,2022-04-30 08:43:38,2022-04-30 08:43:38,2023-04-30 14:32:50,2023-07-29 14:32:50,2023-08-19 14:32:50
