Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0x0,0x61a9701d6358fb860574ad778fb19f6168deb55f,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/54150054000164941675390259045115203326037893245501150849182749919201908758544,2020-12-17 06:06:08,2020-12-17 06:06:08,2023-12-17 23:33:44,2024-03-16 23:33:44,2024-04-06 23:33:44
0x1,0x22410dea392f1353c316a0f21ef0f36463100589,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62432108329564178383255170694663347557424097136529787829583401216295056205379,2020-09-07 22:19:32,2020-09-07 22:19:32,2022-09-08 09:57:56,2022-12-07 09:57:56,2022-12-28 09:57:56
0x2,0x2222222229b89c7844f19ef503c4dc503be47f84,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92509134768190587119088376435002208647851121060143263932875215089967733324690,2020-12-08 18:46:52,2020-12-08 18:46:52,2023-12-09 12:14:28,2024-03-08 12:14:28,2024-03-29 12:14:28
0x3,0x8d69a355117c12a74a15d58bfb1303e6c110d518,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1324904887013455203527194722010460967762793429137898373629911136958084583435,2021-04-13 01:37:49,2021-04-13 01:37:49,2023-04-13 13:16:13,2023-07-12 13:16:13,2023-08-02 13:16:13
0x4,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39559565985096985950136960230636863282131715541408245492006395963487729978751,2021-08-25 08:05:20,2021-08-25 08:05:20,2022-08-25 13:54:32,2022-11-23 13:54:32,2022-12-14 13:54:32
0x5,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/89895729449727245069782143449625671226650153695515666490122487642977865065311,2021-08-25 08:13:40,2021-08-25 08:13:40,2022-08-25 14:02:52,2022-11-23 14:02:52,2022-12-14 14:02:52
0x6,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114057945720985919470111787414876516145593597370433740063318244375692300171747,2021-08-25 08:28:24,2021-08-25 08:28:24,2022-08-25 14:17:36,2022-11-23 14:17:36,2022-12-14 14:17:36
0x7,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1822456037698063798519625814596377223794249664416004701824279290106916706313,2021-08-25 08:33:58,2021-08-25 08:33:58,2022-08-25 14:23:10,2022-11-23 14:23:10,2022-12-14 14:23:10
0x8,0x88888888cd4f09c99e2d467e250b770dac45debe,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85750333000841917629567020274618543072183134513288368297458505951340434893273,2021-05-18 04:38:38,2021-05-18 04:38:38,2023-05-18 16:17:02,2023-08-16 16:17:02,2023-09-06 16:17:02
0x9,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9669844402299551906857692349088176001372704311109510007657791585924310205675,2021-08-25 07:50:31,2021-08-25 07:50:31,2023-08-25 19:28:55,2023-11-23 19:28:55,2023-12-14 19:28:55
0xa,0xf839584b10b8c75c7b1e995b2dd4888d1854fa86,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16616700541202236319934612924717497874380679914174379691914908572708845228651,2021-09-06 12:18:36,2021-09-06 12:18:36,2023-09-06 23:57:00,2023-12-05 23:57:00,2023-12-26 23:57:00
0xb,0x29ecaa773f052d14ec5258b352ee7304f57aabc3,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/96354477010080668891147147121403238835869388281529551645834553496373047517148,2021-09-04 04:28:14,2021-09-04 04:28:14,2022-09-04 10:17:26,2022-12-03 10:17:26,2022-12-24 10:17:26
0xc,0x8aac63d826d9f02c8b6f831cd0fdee88bb3a3e47,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33314204243394313694088793663405028996052090447511995282417935822152511439544,2021-10-06 21:22:18,2021-10-06 21:22:18,2022-10-07 03:11:30,2023-01-05 03:11:30,2023-01-26 03:11:30
0xd,0xb2ebc9b3a788afb1e942ed65b59e9e49a1ee500d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34673565388308767452823437158462800187965698525573412180055552012355925318266,2021-08-23 13:06:35,2021-08-23 13:06:35,2022-08-23 18:55:47,2022-11-21 18:55:47,2022-12-12 18:55:47
0xe,0x392c3eeab282beec83d36f0973be723b2d47e717,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/70704689372426046737619215963921903537788217614679998299931375718468900871004,2021-11-20 13:06:44,2021-11-20 13:06:44,2022-11-20 18:55:56,2023-02-18 18:55:56,2023-03-11 18:55:56
0xf,0xa765f096ec12a50a252f30f906c52884902219f8,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21159738960378346334540840143390322631802868391463414097415359656949114549487,2021-09-22 12:50:17,2021-09-22 12:50:17,2022-09-22 18:39:29,2022-12-21 18:39:29,2023-01-11 18:39:29
