Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0xa,0xf839584b10b8c75c7b1e995b2dd4888d1854fa86,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16616700541202236319934612924717497874380679914174379691914908572708845228651,2021-09-06 12:18:36,2021-09-06 12:18:36,2023-09-06 23:57:00,2023-12-05 23:57:00,2023-12-26 23:57:00
0xb,0x29ecaa773f052d14ec5258b352ee7304f57aabc3,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/96354477010080668891147147121403238835869388281529551645834553496373047517148,2021-09-04 04:28:14,2021-09-04 04:28:14,2022-09-04 10:17:26,2022-12-03 10:17:26,2022-12-24 10:17:26
0xc,0x8aac63d826d9f02c8b6f831cd0fdee88bb3a3e47,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33314204243394313694088793663405028996052090447511995282417935822152511439544,2021-10-06 21:22:18,2021-10-06 21:22:18,2022-10-07 03:11:30,2023-01-05 03:11:30,2023-01-26 03:11:30
0xd,0xb2ebc9b3a788afb1e942ed65b59e9e49a1ee500d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34673565388308767452823437158462800187965698525573412180055552012355925318266,2021-08-23 13:06:35,2021-08-23 13:06:35,2022-08-23 18:55:47,2022-11-21 18:55:47,2022-12-12 18:55:47
0xe,0x392c3eeab282beec83d36f0973be723b2d47e717,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/70704689372426046737619215963921903537788217614679998299931375718468900871004,2021-11-20 13:06:44,2021-11-20 13:06:44,2022-11-20 18:55:56,2023-02-18 18:55:56,2023-03-11 18:55:56
0xf,0xa765f096ec12a50a252f30f906c52884902219f8,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21159738960378346334540840143390322631802868391463414097415359656949114549487,2021-09-22 12:50:17,2021-09-22 12:50:17,2022-09-22 18:39:29,2022-12-21 18:39:29,2023-01-11 18:39:29
0xg,0xe1e01dc3e6527d2fef00164f4e938a39e6628b39,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/53858235922554331030470770894622753707442907064110668529322995874937266840907,2022-03-10 06:07:22,2022-03-10 06:07:22,2023-03-10 11:56:34,2023-06-08 11:56:34,2023-06-29 11:56:34
0xh,0x5d141102ed7639f81000fc01923e553cc10bc2b1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/96215979505338832752456498663664504351762680221782751972033730368329896528467,2022-04-27 18:35:06,2022-04-27 18:35:06,2023-04-28 00:24:18,2023-07-27 00:24:18,2023-08-17 00:24:18
0xi,0x5068a38569172137ad9e6ddd600b605e099be865,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/45412871766067882289723278445911568489955206279619010258905307664901392488009,2021-09-06 14:17:30,2021-09-06 14:17:30,2022-09-06 20:06:42,2022-12-05 20:06:42,2022-12-26 20:06:42
0xj,0x231359f55665f683fb0e549c2341bafbee3aa188,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/23528064518057360370499644404843568114029065457241574081765474010223515537654,2021-11-10 14:41:24,2021-11-10 14:41:24,2022-11-10 20:30:36,2023-02-08 20:30:36,2023-03-01 20:30:36
0xk,0xb74ae8056aff9829c4c70686aa4ca9e6695a971d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/2657075721012715400687422303831908653395671676993206101333706688699130818667,2022-04-27 11:03:29,2022-04-27 11:03:29,2023-04-27 16:52:41,2023-07-26 16:52:41,2023-08-16 16:52:41
0xl,0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1516294012753166629117233818101867865946293107756556940949121289611445717184,2022-01-18 19:52:07,2022-01-18 19:52:07,2023-01-19 01:41:19,2023-04-19 01:41:19,2023-05-10 01:41:19
0xm,0x76c9254a8f599b13d53a11724fbc6fcd08b25ed6,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/27545118302911009836934796073905249426598140257317177827308860940113758364799,2021-09-03 15:21:13,2021-09-03 15:21:13,2022-09-03 21:10:25,2022-12-02 21:10:25,2022-12-23 21:10:25
0xn,0x1313d003ad69292fad6160494024b252611ef655,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/27678911545502653337131189172464951904186095295354376248269221585982575728290,2021-10-03 00:48:32,2021-10-03 00:48:32,2022-10-03 06:37:44,2023-01-01 06:37:44,2023-01-22 06:37:44
0xo,0xa8005630cae7b7d2afadd38fd3b3040d13cbe2bc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18051274846612695545129065263778158270279270694817746116602617503101005789255,2021-10-18 08:39:57,2021-10-18 08:39:57,2022-10-18 14:29:09,2023-01-16 14:29:09,2023-02-06 14:29:09
0xp,0x5068a38569172137ad9e6ddd600b605e099be865,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/53162617758008043076628163334346132593330044850678064656561197436688690716128,2021-09-06 12:13:11,2021-09-06 12:13:11,2022-09-06 18:02:23,2022-12-05 18:02:23,2022-12-26 18:02:23
0xq,0xd06fcd267de8c54da81ddd85d19f342d5dc0ff4d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/112783432479014597614998777210875705734010263608392894104584315155735834062016,2022-04-27 02:09:06,2022-04-27 02:09:06,2022-05-26 07:25:02,2022-08-24 07:25:02,2022-09-14 07:25:02
0xr,0xff1090100b562a06a8bc7bd431e2bf403b035055,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13794958435019232811022528853023739854449297234474132595895192094436423607031,2022-02-08 12:49:04,2022-02-08 12:49:04,2023-02-08 18:38:16,2023-05-09 18:38:16,2023-05-30 18:38:16
0xs,0x16cb289f2cf4a203072735eec0e6c858efdb63b0,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21266844099414036921937558604461893339425028125503774725144087583531300252711,2022-04-25 01:13:18,2022-04-25 01:13:18,2023-04-25 07:02:30,2023-07-24 07:02:30,2023-08-14 07:02:30
0xt,0x470f5469aeaca55b7b415d14f5707278bddbbffe,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111975724331628354752158172972167184513614588479385615362801402643460962917197,2022-04-27 02:17:54,2022-04-27 02:17:54,2023-05-26 13:23:02,2023-08-24 13:23:02,2023-09-14 13:23:02
0xu,0x8ba7abf96149aaae650104df7efe5958fbe1c3e2,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/10871728005377673862941905269249868176119829209119874500935277455217892325955,2022-04-27 03:34:39,2022-04-27 03:34:39,2022-05-26 08:50:35,2022-08-24 08:50:35,2022-09-14 08:50:35
0xv,0x470f5469aeaca55b7b415d14f5707278bddbbffe,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/103263844907204036008631984693677702265953872709023941266096060855853197934218,2022-04-27 02:23:25,2022-04-27 02:23:25,2022-05-26 07:39:21,2022-08-24 07:39:21,2022-09-14 07:39:21
0xw,0x5e624a7ad13b5c01d547b1a95a386d1f6147bf56,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/37732989295369285089338064137369562420197631989200011164409931285225073628947,2022-04-27 02:12:44,2022-04-27 02:12:44,2022-05-26 07:28:40,2022-08-24 07:28:40,2022-09-14 07:28:40
0xx,0xf54e838459deda5773660acbca716ac94b5ee6f9,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32279840189082994663519387757428521871730932682906808602865525966406335391432,2021-10-04 14:44:59,2021-10-04 14:44:59,2022-10-04 20:34:11,2023-01-02 20:34:11,2023-01-23 20:34:11
0xy,0xf54e838459deda5773660acbca716ac94b5ee6f9,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9194129864026755333126875719072826163976057705045088413666406529897371190781,2021-10-04 14:39:09,2021-10-04 14:39:09,2022-10-04 20:28:21,2023-01-02 20:28:21,2023-01-23 20:28:21
0xz,0x2de986a374cba9d56f062c4106063455779676fc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15569810040104080758356732937756571640309729753656801335450683982152697318281,2021-10-20 18:35:08,2021-10-20 18:35:08,2022-10-21 00:24:20,2023-01-19 00:24:20,2023-02-09 00:24:20
