Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0x00,0x7476369f688a8491e248b81d7f27dd80e7bf9efc,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/17768505438904972393326130192289689256237212454720298447686255189307346249892,2021-01-09 15:05:50,2022-04-29 05:58:22,2023-04-29 11:47:34,2023-07-28 11:47:34,2023-08-18 11:47:34
0x01,0xcfc3aa80fce148fee71cf86f61d0d6b0ccbba879,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101839582139710943366265476155673581506555193630960182803199138694421466914687,2021-05-21 14:50:47,2021-05-21 14:50:47,2024-05-21 08:18:23,2024-08-19 08:18:23,2024-09-09 08:18:23
0x02,0x95dcfb46f894681b8f23584bc1f2924651f23f77,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95705342776755635777046145739768448258316925374246570883067280248182511816819,2021-08-28 05:41:46,2021-08-28 05:41:46,2023-08-28 17:20:10,2023-11-26 17:20:10,2023-12-17 17:20:10
0x03,0x95dcfb46f894681b8f23584bc1f2924651f23f77,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7958735587676376505532557656328779346950131712661818609582798960843522549067,2021-08-28 05:46:57,2021-08-28 05:46:57,2023-08-28 17:25:21,2023-11-26 17:25:21,2023-12-17 17:25:21
0x04,0x95dcfb46f894681b8f23584bc1f2924651f23f77,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47481861363696097875876951926919404649607577598862800418916371082570985468071,2021-08-28 05:37:29,2021-08-28 05:37:29,2023-08-28 17:15:53,2023-11-26 17:15:53,2023-12-17 17:15:53
0x05,0x95dcfb46f894681b8f23584bc1f2924651f23f77,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35914389911073531851637983825768147359097963937070767984286294356128820883093,2021-08-28 05:51:48,2021-08-28 05:51:48,2023-08-28 17:30:12,2023-11-26 17:30:12,2023-12-17 17:30:12
0x06,0x95dcfb46f894681b8f23584bc1f2924651f23f77,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43395912329197176710367248503972157549959761484255860578965190022671184301360,2021-08-28 05:33:23,2021-08-28 05:33:23,2023-08-28 17:11:47,2023-11-26 17:11:47,2023-12-17 17:11:47
0x07,0x95dcfb46f894681b8f23584bc1f2924651f23f77,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/69356500977231360060972522200176698527017623451558362016430634445154207193230,2021-08-28 05:58:35,2021-08-28 05:58:35,2023-08-28 17:36:59,2023-11-26 17:36:59,2023-12-17 17:36:59
0x08,0xc1e6e113e8f60830948aa8c58e76c77514404141,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/102781310489869840252413216617495652970390501859958763004914285739389121259729,2021-07-30 03:50:57,2021-07-30 03:50:57,2022-07-30 09:40:09,2022-10-28 09:40:09,2022-11-18 09:40:09
0x09,0x67100ca6a03c4027e0b232f721c26a26222ad1a9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32850734962715205529206560473197830948733546092575286131717819440055318247755,2021-08-28 05:28:36,2021-08-28 05:28:36,2023-08-28 17:07:00,2023-11-26 17:07:00,2023-12-17 17:07:00
0x10,0x4dc8631ab0f92ce3732981db59577bc98bc75e30,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/25631195416171200287612269215918986960453708169545593700831531593930981024621,2021-11-23 02:45:51,2021-11-23 02:45:51,2022-11-23 08:35:03,2023-02-21 08:35:03,2023-03-14 08:35:03
0x11,0x7a1cb40eeab1ab4153a64ad89cff120aeebc9375,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39416210759110114247335953796311684114876442717809003024421743520780920514056,2021-12-15 19:49:49,2021-12-15 19:49:49,2022-12-16 01:39:01,2023-03-16 01:39:01,2023-04-06 01:39:01
0x12,0xd385a1d21b19bdab55e5433680b29e81596413df,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/99581323582377193308572701501393896100705957256895437446436365648433840547527,2021-08-31 02:28:07,2021-08-31 02:28:07,2026-08-31 07:34:07,2026-11-29 07:34:07,2026-12-20 07:34:07
0x13,0xab8072e17f3a3a85355fbe7ed650cb89f99caa6a,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/38353010964415502210509311285227593213784855102973943566346105184222594691767,2022-01-05 05:02:56,2022-01-05 05:02:56,2025-01-04 22:30:32,2025-04-04 22:30:32,2025-04-25 22:30:32
