Number Held,Address,Opensea
66,0xd484d3f381e257b323f45fc4d813cd28df184625,https://opensea.io/0xd484d3f381e257b323f45fc4d813cd28df184625
23,0xef0b939361a6403c86ecb22e90e344605018e7ff,https://opensea.io/0xef0b939361a6403c86ecb22e90e344605018e7ff
22,0x588778f1a7e07366dd9e47f69baefbe35d291221,https://opensea.io/0x588778f1a7e07366dd9e47f69baefbe35d291221
21,0x39f52180e71dbbae7e1b03cbb557f2ac3e7ac8df,https://opensea.io/0x39f52180e71dbbae7e1b03cbb557f2ac3e7ac8df
20,0x5571b0fccbae817a57f62f365034e9354268cefd,https://opensea.io/0x5571b0fccbae817a57f62f365034e9354268cefd
18,0x0e039779806a07a0114dd6298345cbb8fbf91697,https://opensea.io/0x0e039779806a07a0114dd6298345cbb8fbf91697
17,0xa182eae4440a7256c2e706df134aaa87034964f8,https://opensea.io/0xa182eae4440a7256c2e706df134aaa87034964f8
16,0x3a1271284ba4a1c01ed016128738005131314b4a,https://opensea.io/0x3a1271284ba4a1c01ed016128738005131314b4a
16,0xd30ca681d6c030e3f118612e3a92ceabbfee2cf0,https://opensea.io/0xd30ca681d6c030e3f118612e3a92ceabbfee2cf0
15,0x5b926bc7737369d6445dd50f03f870eb9cc901be,https://opensea.io/0x5b926bc7737369d6445dd50f03f870eb9cc901be
13,0x31b3f129e943b498ebd6a82faeab5ae5ea9376b8,https://opensea.io/0x31b3f129e943b498ebd6a82faeab5ae5ea9376b8
13,0xe06edbe967ce67c103747f56961d6e81dbed9d46,https://opensea.io/0xe06edbe967ce67c103747f56961d6e81dbed9d46
12,0xc62abcf1f6ec4627708d0a827a21f18e2e904ca1,https://opensea.io/0xc62abcf1f6ec4627708d0a827a21f18e2e904ca1
11,0x2384040345a48a9766e94ffb97c2c9a63db7a635,https://opensea.io/0x2384040345a48a9766e94ffb97c2c9a63db7a635
