Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
a-a-a,0xd2dbb7b8335ab9a5fc6381e8aee8d6624fc9624e,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/105026228230433893904066017799331682956898159583074043988428906091991713651366,2022-04-22 06:30:21,2022-04-22 06:30:21,2023-04-22 12:19:33,2023-07-21 12:19:33,2023-08-11 12:19:33
a-a-b,,5,Never Registered,,https://app.ens.domains/name/a-a-b.eth/register,,,,,
a-a-c,,5,Never Registered,,https://app.ens.domains/name/a-a-c.eth/register,,,,,
a-a-d,,5,Never Registered,,https://app.ens.domains/name/a-a-d.eth/register,,,,,
a-a-e,,5,Never Registered,,https://app.ens.domains/name/a-a-e.eth/register,,,,,
a-a-f,,5,Never Registered,,https://app.ens.domains/name/a-a-f.eth/register,,,,,
a-a-g,,5,Never Registered,,https://app.ens.domains/name/a-a-g.eth/register,,,,,
a-a-h,,5,Never Registered,,https://app.ens.domains/name/a-a-h.eth/register,,,,,
a-a-i,,5,Never Registered,,https://app.ens.domains/name/a-a-i.eth/register,,,,,
a-a-j,,5,Never Registered,,https://app.ens.domains/name/a-a-j.eth/register,,,,,
a-a-k,,5,Never Registered,,https://app.ens.domains/name/a-a-k.eth/register,,,,,
a-a-l,,5,Never Registered,,https://app.ens.domains/name/a-a-l.eth/register,,,,,
a-a-m,,5,Never Registered,,https://app.ens.domains/name/a-a-m.eth/register,,,,,
a-a-n,,5,Never Registered,,https://app.ens.domains/name/a-a-n.eth/register,,,,,
a-a-o,,5,Never Registered,,https://app.ens.domains/name/a-a-o.eth/register,,,,,
a-a-p,,5,Never Registered,,https://app.ens.domains/name/a-a-p.eth/register,,,,,
a-a-q,,5,Never Registered,,https://app.ens.domains/name/a-a-q.eth/register,,,,,
a-a-r,,5,Never Registered,,https://app.ens.domains/name/a-a-r.eth/register,,,,,
a-a-s,0x315f7ffc51f840256be9d8344df4225b48d493b1,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63802261578319392818588928094592031229539344216891805060195693516039821510962,2022-05-03 08:20:19,2022-05-03 08:20:19,2023-05-03 14:09:31,2023-08-01 14:09:31,2023-08-22 14:09:31
a-a-t,,5,Never Registered,,https://app.ens.domains/name/a-a-t.eth/register,,,,,
a-a-u,,5,Never Registered,,https://app.ens.domains/name/a-a-u.eth/register,,,,,
a-a-v,,5,Never Registered,,https://app.ens.domains/name/a-a-v.eth/register,,,,,
a-a-w,,5,Never Registered,,https://app.ens.domains/name/a-a-w.eth/register,,,,,
a-a-x,,5,Never Registered,,https://app.ens.domains/name/a-a-x.eth/register,,,,,
a-a-y,,5,Never Registered,,https://app.ens.domains/name/a-a-y.eth/register,,,,,
a-a-z,,5,Never Registered,,https://app.ens.domains/name/a-a-z.eth/register,,,,,
a-b-a,,5,Never Registered,,https://app.ens.domains/name/a-b-a.eth/register,,,,,
a-b-b,0x5d99fced437e4c2099445cb645131089ab545765,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114931242656257096732136040105705582279167463931757047875061377006721167747228,2022-05-02 04:38:20,2022-05-02 04:38:20,2023-05-02 10:27:32,2023-07-31 10:27:32,2023-08-21 10:27:32
