Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
a-0,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/97888636414005017900447071691826032911635173115566145928050302586114577896300,2022-04-30 01:38:54,2022-04-30 01:38:54,2022-06-05 14:13:49,2022-09-03 14:13:49,2022-09-24 14:13:49
a-1,0x3b1311363bff7c9d43263a2f1c325753210d3327,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22029253067817659237884884980462699344072520885424593983147083888974213629782,2022-04-25 23:24:40,2022-04-25 23:24:40,2023-04-26 05:13:52,2023-07-25 05:13:52,2023-08-15 05:13:52
a-2,0x0d6c53044bb559c541fc3eb944211fd0d08686f4,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16169696104844850424772002818088135207048644848242465435065434516195804104369,2022-04-29 23:27:05,2022-04-29 23:27:05,2022-06-05 12:02:00,2022-09-03 12:02:00,2022-09-24 12:02:00
a-3,0xf1a06ebabb728773f48ee48be7049bb441faef84,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47167728213387161287634217658808825962530006983672339695517841613179462460823,2022-04-29 23:39:32,2022-04-29 23:39:32,2023-04-30 05:28:44,2023-07-29 05:28:44,2023-08-19 05:28:44
a-4,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29878886919008389957382402987558813722390731244323400084507733823485837796985,2022-04-29 22:26:02,2022-04-29 22:26:02,2022-06-05 11:00:57,2022-09-03 11:00:57,2022-09-24 11:00:57
a-5,0x7b0cc5dd236eea79c8739468bb56ed5e147c8b06,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76987236855661375161783034864533968562433660480741552601111447637634099286695,2022-04-29 22:14:01,2022-04-29 22:14:01,2023-04-30 04:03:13,2023-07-29 04:03:13,2023-08-19 04:03:13
a-6,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/84860886316721219609121794148483037243151110931748285719983780853346070837039,2022-04-30 01:16:09,2022-04-30 01:16:09,2022-06-05 13:51:04,2022-09-03 13:51:04,2022-09-24 13:51:04
a-7,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/27712120260955761076133054870078969835780302720467188478939764924218321728031,2022-04-30 01:11:54,2022-04-30 01:11:54,2022-06-05 13:46:49,2022-09-03 13:46:49,2022-09-24 13:46:49
a-8,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91729317984799377549393202719273261939247190435273963524609807781691520692825,2022-04-29 23:59:36,2022-04-29 23:59:36,2022-06-05 12:34:31,2022-09-03 12:34:31,2022-09-24 12:34:31
a-9,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/14359889057605665782289210194239736706633050192403002410130126511340646431716,2022-04-30 01:33:14,2022-04-30 01:33:14,2022-06-05 14:08:09,2022-09-03 14:08:09,2022-09-24 14:08:09
b-0,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/50957431937732964995428836675564867481436012380296680472790589351475250049725,2022-04-30 01:40:40,2022-04-30 01:40:40,2022-06-05 14:15:35,2022-09-03 14:15:35,2022-09-24 14:15:35
b-1,0xdc5a36093519f523258d2319cd34ef8718ea28ff,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111383374673120670759126981366346842770867569609144811361514399443073266236853,2022-04-29 23:35:59,2022-04-29 23:35:59,2022-06-05 12:10:54,2022-09-03 12:10:54,2022-09-24 12:10:54
b-2,0xe9b51db4b68fa62444a88bd4632180be9021ffc5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114651334490501514283380705188016057478479222250374334843560894755282844832383,2022-04-30 03:13:29,2022-04-30 03:13:29,2022-06-05 15:48:24,2022-09-03 15:48:24,2022-09-24 15:48:24
b-3,0x04fa5c3869ded7d00f36f13597a2f46aee4c9220,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64050494659334773345795890693341478168159966757028595792078969584701210785090,2022-04-30 03:50:19,2022-04-30 03:50:19,2023-04-30 09:39:31,2023-07-29 09:39:31,2023-08-19 09:39:31
b-4,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/53219113894924453978031541354371505349620147519863641078856556289061629123045,2022-04-29 20:34:27,2022-04-29 20:34:27,2022-06-05 09:09:22,2022-09-03 09:09:22,2022-09-24 09:09:22
b-5,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22602574698408027104347416705786486325815734618829765058920439567644487403616,2022-04-30 00:11:17,2022-04-30 00:11:17,2022-06-05 12:46:12,2022-09-03 12:46:12,2022-09-24 12:46:12
b-6,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76444369716453329112596202631439411036953057834976011844434319101315516424605,2022-04-30 00:11:10,2022-04-30 00:11:10,2022-06-05 12:46:05,2022-09-03 12:46:05,2022-09-24 12:46:05
b-7,0xffe146d49dbddd37053552a5e5f53c69646e90f9,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/30326657614473701351505258131938777542654017932682054404562784038659298117567,2022-04-30 01:04:51,2022-04-30 01:04:51,2022-06-05 13:39:46,2022-09-03 13:39:46,2022-09-24 13:39:46
b-8,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86964498803622902952022615649400722168382907960062005650677291872589800950395,2022-04-30 00:06:19,2022-04-30 00:06:19,2022-06-05 12:41:14,2022-09-03 12:41:14,2022-09-24 12:41:14
b-9,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61774152703370460357214096313096835516265412299447179900288794502634705710810,2022-04-30 01:09:38,2022-04-30 01:09:38,2022-06-05 13:44:33,2022-09-03 13:44:33,2022-09-24 13:44:33
c-0,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/65168127188855387933165984698595609019011919135813134107597807242124735146739,2022-04-30 01:56:57,2022-04-30 01:56:57,2022-06-05 14:31:52,2022-09-03 14:31:52,2022-09-24 14:31:52
c-1,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62671694569108854391231415769027409761936949644221129897760674067573598715045,2022-04-30 01:35:09,2022-04-30 01:35:09,2022-06-05 14:10:04,2022-09-03 14:10:04,2022-09-24 14:10:04
c-2,0x2384040345a48a9766e94ffb97c2c9a63db7a635,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111597166347531963131264937260655744650645000057698938862586490987988083981881,2022-04-30 12:46:14,2022-04-30 12:46:14,2022-06-06 01:21:09,2022-09-04 01:21:09,2022-09-25 01:21:09
c-3,0xe5cd3d61ba6fe015c5d6be35b30df75f529c4fc3,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1663803392565490467788868906841303291485706201551996507727389565095733148936,2022-04-30 00:29:04,2022-04-30 00:29:04,2022-06-05 13:03:59,2022-09-03 13:03:59,2022-09-24 13:03:59
c-4,0xfc2efa3b7904da7d6c802b6b6e3ce8279beed2a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111769710012095200596707759122981680528059441043267937958898785533659340023919,2021-09-23 16:00:15,2021-09-23 16:00:15,2022-09-23 21:49:27,2022-12-22 21:49:27,2023-01-12 21:49:27
c-5,0x5a38379c338e0c7bbf6cad3bd003d5ffb119add7,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12650365995388570380936520178449165349791767574526845883814927527511944845185,2022-04-30 14:31:01,2022-04-30 14:31:01,2022-05-29 19:46:57,2022-08-27 19:46:57,2022-09-17 19:46:57
c-6,0xce485e854ef129d13dc1e25d103412bd25e97904,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5095163783012422611686141746854702724405559962091913244663485198286323516392,2022-04-30 13:47:52,2022-04-30 13:47:52,2023-04-30 19:37:04,2023-07-29 19:37:04,2023-08-19 19:37:04
c-7,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/59184795350322731864650095934605238250031510413187523931622326631757860335751,2022-04-30 00:48:39,2022-04-30 00:48:39,2022-06-05 13:23:34,2022-09-03 13:23:34,2022-09-24 13:23:34
c-8,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/2343968796506371280721796055077787846163597512110211207268116385146035429096,2022-04-30 00:05:38,2022-04-30 00:05:38,2022-06-05 12:40:33,2022-09-03 12:40:33,2022-09-24 12:40:33
c-9,0xd503b0f9cbf4142fe0306daa9d49b1509d720822,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43453837545156138052343828084601888047265389612556763716318728967045450526604,2022-04-30 03:19:16,2022-04-30 03:19:16,2022-06-05 15:54:11,2022-09-03 15:54:11,2022-09-24 15:54:11
d-0,0x175f44afe2b8f4ba8dd04dea0f3453be73075f7e,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85795412062033013275820222869678066490304876680460729816106981939300808314518,2022-04-30 13:10:26,2022-04-30 13:10:26,2023-04-30 18:59:38,2023-07-29 18:59:38,2023-08-19 18:59:38
d-1,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47947376018431060917212170188585325867531923739308145791963753031146195001292,2022-04-30 01:36:26,2022-04-30 01:36:26,2022-06-05 14:11:21,2022-09-03 14:11:21,2022-09-24 14:11:21
d-2,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47930314552934265442104815374870566297147531314445005792727437533066523714588,2022-04-30 01:33:14,2022-04-30 01:33:14,2022-06-05 14:08:09,2022-09-03 14:08:09,2022-09-24 14:08:09
d-3,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64532874613171552655046758294082452433572062354805472784175950734456018656707,2022-04-30 01:30:46,2022-04-30 01:30:46,2022-06-05 14:05:41,2022-09-03 14:05:41,2022-09-24 14:05:41
d-4,0x2384040345a48a9766e94ffb97c2c9a63db7a635,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43334487751869186808569467181290454240232049835159363440036946159612799173869,2022-04-30 12:46:14,2022-04-30 12:46:14,2022-06-06 01:21:09,2022-09-04 01:21:09,2022-09-25 01:21:09
d-5,0x0ec888cc8099c19a5ed3bbe7a586fce9a5ae7245,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/103383789855631846919476851879502582901907548505344030326970194821727177906929,2022-04-30 15:42:18,2022-04-30 15:42:18,2023-04-30 21:31:30,2023-07-29 21:31:30,2023-08-19 21:31:30
d-6,0xf25b91d0773ee199810ea4a5899f8ac795cfd849,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/99578392800073935298876568430892987029040789870686510588728423309676481619456,2022-05-01 10:06:09,2022-05-01 10:06:09,2022-06-06 22:41:04,2022-09-04 22:41:04,2022-09-25 22:41:04
