Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0--0,0x04fa5c3869ded7d00f36f13597a2f46aee4c9220,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78454058979813609993434447771800246816500224671526205415362584109710147776825,2022-04-25 04:18:49,2022-04-25 04:18:49,2023-04-25 10:08:01,2023-07-24 10:08:01,2023-08-14 10:08:01
0--1,0x0d11f3c454de58ca59c80bf5f8c31ad345ef6819,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/100830494355976298701767675014686777116389438774884285486069932505119455148662,2022-04-30 14:29:05,2022-04-30 14:29:05,2022-10-30 05:23:41,2023-01-28 05:23:41,2023-02-18 05:23:41
0--2,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44368540267235069843852425789271860824630025566300463162081536742863591616603,2022-05-01 04:44:00,2022-05-01 04:44:00,2022-06-06 17:18:55,2022-09-04 17:18:55,2022-09-25 17:18:55
0--3,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/58196984541789695604513364489220752928795763683869738776387627797922235250075,2022-05-01 04:44:00,2022-05-01 04:44:00,2022-06-06 17:18:55,2022-09-04 17:18:55,2022-09-25 17:18:55
0--4,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/227503518765726691933395371945153744699255279955371773453194064839501275063,2022-05-01 04:44:18,2022-05-01 04:44:18,2022-06-06 17:19:13,2022-09-04 17:19:13,2022-09-25 17:19:13
0--5,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72655088551611759105857537992759724601197859092410072870964108161021209909037,2022-05-01 04:44:30,2022-05-01 04:44:30,2022-06-06 17:19:25,2022-09-04 17:19:25,2022-09-25 17:19:25
0--6,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18881330732912223855210760577786044504515693874274358637458997899019982845339,2022-05-01 04:44:30,2022-05-01 04:44:30,2022-06-06 17:19:25,2022-09-04 17:19:25,2022-09-25 17:19:25
0--7,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/94776951961159812692128893716413945830548908132290315805471872914162302560889,2022-05-01 04:36:11,2022-05-01 04:36:11,2022-06-06 17:11:06,2022-09-04 17:11:06,2022-09-25 17:11:06
0--8,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92538328939605543980407559295675667120923124639750482558894162761957299492702,2022-05-01 04:44:30,2022-05-01 04:44:30,2022-06-06 17:19:25,2022-09-04 17:19:25,2022-09-25 17:19:25
0--9,0x43b4fba85628566d62a3b83c8f1df309bcf08983,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/25105918371915256820667587824148968341974230091071970819224864386003939878469,2022-05-01 04:47:17,2022-05-01 04:47:17,2022-06-06 17:22:12,2022-09-04 17:22:12,2022-09-25 17:22:12
1--0,0x4525342aee5e0864096c189bfe0018f13e48d1e9,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/23769080177534083321113160657486818699601639891906592184882481228049890175917,2022-04-27 11:45:49,2022-04-27 11:45:49,2023-04-27 17:35:01,2023-07-26 17:35:01,2023-08-16 17:35:01
1--1,0xcb3059d7bdafadbb569cd7e7dcc1fa191771b238,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/20315431938983233039642325418692845138571097129850864609953974841429386549364,2022-04-27 01:12:26,2022-04-27 01:12:26,2023-04-27 07:01:38,2023-07-26 07:01:38,2023-08-16 07:01:38
1--2,0xc27a3a4f3d76a8990f4de1b79aaa23a04a31adda,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/71419999833314091647975893598991525841000144947585093721179506963582491259288,2022-04-30 13:54:37,2022-04-30 13:54:37,2023-04-30 19:43:49,2023-07-29 19:43:49,2023-08-19 19:43:49
1--3,0x85b5e66e1e2e0d1687ec30ac87d884ae80163a82,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/25315010624461557377081537829385764582489269603652846540051458305914200895457,2022-05-03 04:55:53,2022-05-03 04:55:53,2022-06-01 10:11:49,2022-08-30 10:11:49,2022-09-20 10:11:49
1--4,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76890231143164764818691218522838051956052677685520940997894774293070495617403,2022-05-05 06:01:56,2022-05-05 06:01:56,2023-05-05 11:51:08,2023-08-03 11:51:08,2023-08-24 11:51:08
1--5,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/65911339367021167320642180839583840757505844604140186000605351215781044677732,2022-05-05 06:02:36,2022-05-05 06:02:36,2023-05-05 11:51:48,2023-08-03 11:51:48,2023-08-24 11:51:48
1--6,0x85b5e66e1e2e0d1687ec30ac87d884ae80163a82,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44337736860231920335186397894448872544082170625547527216053782012419518621260,2022-05-03 04:46:43,2022-05-03 04:46:43,2022-06-01 10:02:39,2022-08-30 10:02:39,2022-09-20 10:02:39
1--7,0xe635dfc74904e3ec71b95fd3b8b2a7dc5a9870a6,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/108406722000141251758068792818962237165112788539796249375222759954280480202221,2022-05-03 03:34:41,2022-05-03 03:34:41,2022-06-01 00:04:40,2022-08-30 00:04:40,2022-09-20 00:04:40
1--8,0x43b6708bdbdb34854874aa8e5900ea3aa7be16cf,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/79968518123208484454606369473838753624909865416237051090331732910411434779328,2022-05-01 13:01:02,2022-05-01 13:01:02,2023-05-01 18:50:14,2023-07-30 18:50:14,2023-08-20 18:50:14
1--9,0x289d469c235988bc05a41d195f27f16dfec12e50,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62096467226628348891707054656695619246047313494858522021001476060764085919878,2022-05-02 12:48:34,2022-05-02 12:48:34,2023-05-02 18:37:46,2023-07-31 18:37:46,2023-08-21 18:37:46
2--0,0x4125ee252abb4c2928d92fb702e86d0ab73cd37b,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/66095479045092085550779391229173777587256807266674391958299408342266128496978,2022-05-01 05:12:50,2022-05-01 05:12:50,2023-05-01 11:02:02,2023-07-30 11:02:02,2023-08-20 11:02:02
2--1,0xf4c40bf7070fdcf64ecf020bcb583738a6cc3bcd,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31988450973804973337848640377314199336293122282159504694025621145462205177713,2022-05-01 06:09:27,2022-05-01 06:09:27,2022-06-06 18:44:22,2022-09-04 18:44:22,2022-09-25 18:44:22
2--2,0xa5f0d932f3a35a1dfbef2cc286555cdf0a6a9b32,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/41095307306134416515694856007242300873240807941393098791579813817985929958949,2022-04-28 11:30:21,2022-04-28 11:30:21,2024-04-27 23:08:45,2024-07-26 23:08:45,2024-08-16 23:08:45
2--3,0x521a40028b0c2bb47b9e9bf059a2a43a02f9ad86,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/74468985212904313478142851725684358006704488948021843086078467207382347174272,2022-05-04 10:08:04,2022-05-04 10:08:04,2023-05-04 15:57:16,2023-08-02 15:57:16,2023-08-23 15:57:16
2--4,0x9d9bb08fb247cf58363ac9c4ea8ca5c439da4993,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/90262592271046841929332645638235247951266522500095950796737547211995697293584,2022-05-05 06:43:49,2022-05-05 06:43:49,2023-05-05 12:33:01,2023-08-03 12:33:01,2023-08-24 12:33:01
2--5,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/51582260329173429206651875556327453999651999024176399663595116751161191519055,2022-05-05 06:02:36,2022-05-05 06:02:36,2023-05-05 11:51:48,2023-08-03 11:51:48,2023-08-24 11:51:48
2--6,0x0352de60830c6852c3d8ed0fe9cce7ff2cc865b2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86656726471145740119065012409412491164042028643463864739565866199268508768010,2022-05-05 09:26:57,2022-05-05 09:26:57,2023-05-05 15:16:09,2023-08-03 15:16:09,2023-08-24 15:16:09
2--7,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/46720833026560210855180296054381015727876934238543921866878757058461516526714,2022-05-05 06:02:42,2022-05-05 06:02:42,2023-05-05 11:51:54,2023-08-03 11:51:54,2023-08-24 11:51:54
2--8,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/23102524090873914828972372976143322885598617951102149472777095773741761945013,2022-05-05 06:03:02,2022-05-05 06:03:02,2023-05-05 11:52:14,2023-08-03 11:52:14,2023-08-24 11:52:14
2--9,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/97713473006422018246000992035056197907255481793063840315480403772545451222992,2022-05-05 06:03:02,2022-05-05 06:03:02,2023-05-05 11:52:14,2023-08-03 11:52:14,2023-08-24 11:52:14
3--0,0x1048259a03f21c0be108fba8bb89af7a66ac5e14,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/80134864795163595194258832604169314008436532269915697662034731211233402928235,2022-05-02 03:21:46,2022-05-02 03:21:46,2022-08-19 17:06:31,2022-11-17 17:06:31,2022-12-08 17:06:31
3--1,0x0352de60830c6852c3d8ed0fe9cce7ff2cc865b2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/66636903473823018562416990088306828232889864263241153652280339465061840637513,2022-05-05 09:22:50,2022-05-05 09:22:50,2023-05-05 15:12:02,2023-08-03 15:12:02,2023-08-24 15:12:02
3--2,0x60d9e3a9566c16c3911fef2d9ac1e24a5da61c9c,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/106030664115238464261074264262894980859350617280564668154488615510086345297912,2022-05-05 07:00:33,2022-05-05 07:00:33,2023-05-05 12:49:45,2023-08-03 12:49:45,2023-08-24 12:49:45
3--3,0xcb3059d7bdafadbb569cd7e7dcc1fa191771b238,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101400860330286336946594136945287217029000550830971681873295958210163880733557,2022-04-27 01:32:37,2022-04-27 01:32:37,2023-04-27 07:21:49,2023-07-26 07:21:49,2023-08-16 07:21:49
3--4,0xb460c95caf08b28c8ab7224590e931f020bd76d4,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/27087194343743658711384574357639085094414565456146588651691718448590318808584,2022-05-03 02:49:58,2022-05-03 02:49:58,2023-05-03 08:39:10,2023-08-01 08:39:10,2023-08-22 08:39:10
3--5,0x0352de60830c6852c3d8ed0fe9cce7ff2cc865b2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/28460668772947554300116233096399271778814768951975045352898574882601175138876,2022-05-05 09:32:53,2022-05-05 09:32:53,2023-05-05 15:22:05,2023-08-03 15:22:05,2023-08-24 15:22:05
3--6,0xd65919ef50cab25946d5b663211e9bebcaa1de94,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/30521903077003015366674986442852571794286754887917618278084231668554570448738,2022-05-05 09:41:34,2022-05-05 09:41:34,2023-05-05 15:30:46,2023-08-03 15:30:46,2023-08-24 15:30:46
3--7,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8481423951045034755031579286257289102310926012827887591120963653308764463423,2022-05-05 06:05:46,2022-05-05 06:05:46,2023-05-05 11:54:58,2023-08-03 11:54:58,2023-08-24 11:54:58
3--8,0x16f540c0c4fdcce8d186d12f6821dd406d06a81e,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29653284069580047563410872379373295280865476119761687633595484932413963769106,2022-05-02 10:57:42,2022-05-02 10:57:42,2023-05-02 16:46:54,2023-07-31 16:46:54,2023-08-21 16:46:54
3--9,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8639543685363962425425723712533659569231821110079091475760619160366965446919,2022-05-05 06:07:03,2022-05-05 06:07:03,2023-05-05 11:56:15,2023-08-03 11:56:15,2023-08-24 11:56:15
4--0,0xe635dfc74904e3ec71b95fd3b8b2a7dc5a9870a6,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/98889410616358405959237826821758460107068699170100475100632133039628476814276,2022-05-03 03:34:41,2022-05-03 03:34:41,2022-06-01 00:04:40,2022-08-30 00:04:40,2022-09-20 00:04:40
4--1,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/109066554422916537031523014655700127504198324272181361769292807264051393587354,2022-05-05 06:07:03,2022-05-05 06:07:03,2023-05-05 11:56:15,2023-08-03 11:56:15,2023-08-24 11:56:15
4--2,0x1fbcc83e8acafa2f8217f981af5d842ee7b803d0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/103591924085751169309812436412010343685473109273219421311308946750153317415621,2022-05-03 00:47:32,2022-05-03 00:47:32,2024-05-02 12:25:56,2024-07-31 12:25:56,2024-08-21 12:25:56
4--3,0x0352de60830c6852c3d8ed0fe9cce7ff2cc865b2,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/38328068845879964898559140661009702584096715008687579018478695439638145390606,2022-05-05 10:00:24,2022-05-05 10:00:24,2023-05-05 15:49:36,2023-08-03 15:49:36,2023-08-24 15:49:36
4--4,0xa8fefe1c78a64a5af7df21cf814db34b8db24a78,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57927032008080945474777079262003352896230708974057631665193492629198281597828,2022-04-28 15:39:53,2022-04-28 15:39:53,2023-04-28 21:29:05,2023-07-27 21:29:05,2023-08-17 21:29:05
4--5,0xf508d9916cb4c0e02bce766d580c15bea1090f08,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/79183167693133406564765078079207983600728440102625696657196912323840933895766,2022-05-05 06:12:59,2022-05-05 06:12:59,2023-05-05 12:02:11,2023-08-03 12:02:11,2023-08-24 12:02:11
4--6,0xd65919ef50cab25946d5b663211e9bebcaa1de94,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/38638948222062561066468197133535831760179030656175613832687023592521118500218,2022-05-05 10:34:17,2022-05-05 10:34:17,2023-05-05 16:23:29,2023-08-03 16:23:29,2023-08-24 16:23:29
