Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0-a,0xbcdb0116ad05d4569b01117dbb489055d12fdbbc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/108004594363043911998364344345697967520977010505925087372672386676155633876819,2022-04-29 21:05:37,2022-04-29 21:05:37,2022-06-23 15:57:59,2022-09-21 15:57:59,2022-10-12 15:57:59
0-b,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5992345038312083103127160915138873157992202026133695034918018415365462630115,2022-04-30 00:59:21,2022-04-30 00:59:21,2022-06-05 13:34:16,2022-09-03 13:34:16,2022-09-24 13:34:16
0-c,0xfb6c769a5844d19d6228023a09f9f4f09e5f1f94,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/2580270924529257008147265394130828013054712524906432914356665899849733629137,2022-04-30 14:47:38,2022-04-30 14:47:38,2022-05-29 20:03:34,2022-08-27 20:03:34,2022-09-17 20:03:34
0-d,0x8168eb79738e9fa034ab95b156047149277dc2f0,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95160805702693371495637136561970662107711236615927706257050175126639785472084,2022-04-30 06:31:16,2022-04-30 06:31:16,2023-04-30 12:20:28,2023-07-29 12:20:28,2023-08-19 12:20:28
0-e,0xe27f08a01a3b1380866919ff768dfcf8cd7f3488,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95555852348337183047788066989592930183000506078391488207265312164354405627673,2022-04-30 13:30:11,2022-04-30 13:30:11,2023-04-30 19:19:23,2023-07-29 19:19:23,2023-08-19 19:19:23
0-f,0xad54e7ad2b024ea1db3be711c0eac7a0a4e1ae1a,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/100447237169306869997223838599304513633236060861605670515573276143032574996462,2022-04-30 07:40:05,2022-04-30 07:40:05,2022-06-05 20:15:00,2022-09-03 20:15:00,2022-09-24 20:15:00
0-g,0x5b6a6ffe186d49942613cf735f036129dafd827f,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/59461930532833170742582794377256763169255752177502881837071064020329754354212,2022-04-29 06:53:18,2022-04-29 06:53:18,2023-04-29 12:42:30,2023-07-28 12:42:30,2023-08-18 12:42:30
0-h,0x0ed730798e9f7d8d08d87be6e523940495feeae6,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95242465366797696939873789021289460611194409224162117649461622385233668281320,2022-04-30 15:00:08,2022-04-30 15:00:08,2023-05-30 02:05:16,2023-08-28 02:05:16,2023-09-18 02:05:16
0-i,0xca34b7c6d71b82f52a9a0a6941f98b4e2e8a6010,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/68043909842940130123375387222305431262381535760703176094460527506264744313731,2022-05-01 09:52:24,2022-05-01 09:52:24,2022-06-06 22:27:19,2022-09-04 22:27:19,2022-09-25 22:27:19
0-j,0x3e390b35700bbbb9a36024f554f8b89c354175a1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/90959428672755676069981422180437037863115878802849904313569231077187893694247,2022-04-30 02:43:15,2022-04-30 02:43:15,2022-06-05 15:18:10,2022-09-03 15:18:10,2022-09-24 15:18:10
