Number Held,Address,Opensea
18,0x122c2f601a2f47b4ccab68a838213b1036485d68,https://opensea.io/0x122c2f601a2f47b4ccab68a838213b1036485d68
9,0xbcdb0116ad05d4569b01117dbb489055d12fdbbc,https://opensea.io/0xbcdb0116ad05d4569b01117dbb489055d12fdbbc
8,0x3e390b35700bbbb9a36024f554f8b89c354175a1,https://opensea.io/0x3e390b35700bbbb9a36024f554f8b89c354175a1
7,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,https://opensea.io/0x8217cc277a8edfda132a0123761e1d2aa795ecc6
7,0x97a95b10a62e8bf27cc29cc6034cec36bc0b9dc6,https://opensea.io/0x97a95b10a62e8bf27cc29cc6034cec36bc0b9dc6
7,0xeb6f1a21b99fadb73c4ba4331d71360918723eb7,https://opensea.io/0xeb6f1a21b99fadb73c4ba4331d71360918723eb7
6,0x8168eb79738e9fa034ab95b156047149277dc2f0,https://opensea.io/0x8168eb79738e9fa034ab95b156047149277dc2f0
6,0xb5ccf9c42eb80690eef542b007dcc015e99ed992,https://opensea.io/0xb5ccf9c42eb80690eef542b007dcc015e99ed992
5,0x86649d69a96e82b346c1cb31ff7fafb00ec8983d,https://opensea.io/0x86649d69a96e82b346c1cb31ff7fafb00ec8983d
5,0x3154e4afe2ff0f30e482c2f4488fc066bb70fff2,https://opensea.io/0x3154e4afe2ff0f30e482c2f4488fc066bb70fff2
5,0xdb6b6395b8a748ea7e9df7aac3a79f184a37651d,https://opensea.io/0xdb6b6395b8a748ea7e9df7aac3a79f184a37651d
4,0xebd9bb8bb470051339a7f13ab6842397b9cd6254,https://opensea.io/0xebd9bb8bb470051339a7f13ab6842397b9cd6254
4,0xd453f7c1c9bf5ca47f643e58b6f45134b6b2f8f0,https://opensea.io/0xd453f7c1c9bf5ca47f643e58b6f45134b6b2f8f0
4,0x11360f0c5552443b33720a44408aba01a809905e,https://opensea.io/0x11360f0c5552443b33720a44408aba01a809905e
4,0xef311b28f7ad6907ec72acaeab746111de8ce560,https://opensea.io/0xef311b28f7ad6907ec72acaeab746111de8ce560
3,0xca34b7c6d71b82f52a9a0a6941f98b4e2e8a6010,https://opensea.io/0xca34b7c6d71b82f52a9a0a6941f98b4e2e8a6010
3,0xeac937f5130f5ea50fd394bf5e54e6d16cda8495,https://opensea.io/0xeac937f5130f5ea50fd394bf5e54e6d16cda8495
3,0x0b66b88240900d44ca11fa61a6be75a6d3f37b1d,https://opensea.io/0x0b66b88240900d44ca11fa61a6be75a6d3f37b1d
3,0xf8442ae38a8246f425b7928fb60fd61bbdf5d459,https://opensea.io/0xf8442ae38a8246f425b7928fb60fd61bbdf5d459
3,0x4e258cc6180e73a69bb0ce18621c8901aed3b792,https://opensea.io/0x4e258cc6180e73a69bb0ce18621c8901aed3b792
3,0x0a63040e9f5f0d8422b28e7db62422afce1cb57e,https://opensea.io/0x0a63040e9f5f0d8422b28e7db62422afce1cb57e
3,0xc8e25c2c84e1dd576810d72a57e5c6d8f6a1a60c,https://opensea.io/0xc8e25c2c84e1dd576810d72a57e5c6d8f6a1a60c
3,0x735e0301e31bdb21da25b224ab7a5a8d79c25e08,https://opensea.io/0x735e0301e31bdb21da25b224ab7a5a8d79c25e08
3,0x5aab82331282590429e8ddc620f916b06878970b,https://opensea.io/0x5aab82331282590429e8ddc620f916b06878970b
3,0xf1a06ebabb728773f48ee48be7049bb441faef84,https://opensea.io/0xf1a06ebabb728773f48ee48be7049bb441faef84
3,0x1e93441fe945e7ab2cef198a2f51e0135e2ccf43,https://opensea.io/0x1e93441fe945e7ab2cef198a2f51e0135e2ccf43
3,0xa538e959a560e2b19de779dbc58e491273323baa,https://opensea.io/0xa538e959a560e2b19de779dbc58e491273323baa
2,0x2562d7f107244eb199d098f23d479fae77dc267f,https://opensea.io/0x2562d7f107244eb199d098f23d479fae77dc267f
2,0x084fb62072c4068a439e169bc079f475d0c7d7d5,https://opensea.io/0x084fb62072c4068a439e169bc079f475d0c7d7d5
2,0x689afea63c2a6275a3ca238cf8f31332226de65c,https://opensea.io/0x689afea63c2a6275a3ca238cf8f31332226de65c
2,0xb32479885bf4d23ed6f9b7d2ce87eca2ddc62c5b,https://opensea.io/0xb32479885bf4d23ed6f9b7d2ce87eca2ddc62c5b
2,0xfe24a09be662793120e7a1076047f8e6d8428e1e,https://opensea.io/0xfe24a09be662793120e7a1076047f8e6d8428e1e
2,0x4125ee252abb4c2928d92fb702e86d0ab73cd37b,https://opensea.io/0x4125ee252abb4c2928d92fb702e86d0ab73cd37b
2,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,https://opensea.io/0x0075601db47c244cf3a3cda72f64a0e3fe12dd12
2,0xe3df22edd5ac4b3ca85b4a2bf484f753d91cbd3f,https://opensea.io/0xe3df22edd5ac4b3ca85b4a2bf484f753d91cbd3f
2,0x900c147e7629b63da11208b09864c69a12d333ae,https://opensea.io/0x900c147e7629b63da11208b09864c69a12d333ae
2,0xbd7f51fe9a43eea8b82e1e498630e137b94a5ea2,https://opensea.io/0xbd7f51fe9a43eea8b82e1e498630e137b94a5ea2
2,0x8464e97ae591ced3c48ee4639495e3b6217fd861,https://opensea.io/0x8464e97ae591ced3c48ee4639495e3b6217fd861
2,0xc3788d17405af76132c2ff2c3ef87ce594bfe28b,https://opensea.io/0xc3788d17405af76132c2ff2c3ef87ce594bfe28b
2,0xf4974ebbae7ec9db35d8125b3ae7f00e42cca06f,https://opensea.io/0xf4974ebbae7ec9db35d8125b3ae7f00e42cca06f
2,0x1a3c76baf24f85abfaf62838abef4ca68e13a47d,https://opensea.io/0x1a3c76baf24f85abfaf62838abef4ca68e13a47d
2,0xd31c19c2be3fa014b248bd0d921ed8db55d2b3c1,https://opensea.io/0xd31c19c2be3fa014b248bd0d921ed8db55d2b3c1
2,0x2ef770ff02e6ff1e0f7b0f4280f2073a11bf0498,https://opensea.io/0x2ef770ff02e6ff1e0f7b0f4280f2073a11bf0498
2,0x5dba0dfff10dc8b60efa10634d2506bfc2389510,https://opensea.io/0x5dba0dfff10dc8b60efa10634d2506bfc2389510
2,0x12a0af832e138f618d4681841a00c47bda99a92c,https://opensea.io/0x12a0af832e138f618d4681841a00c47bda99a92c
2,0xf72aebbd82355ad657333fd9262b5f8966a47f6a,https://opensea.io/0xf72aebbd82355ad657333fd9262b5f8966a47f6a
2,0xf25b91d0773ee199810ea4a5899f8ac795cfd849,https://opensea.io/0xf25b91d0773ee199810ea4a5899f8ac795cfd849
2,0x082de2f7266648593805e464835e98a9fc035894,https://opensea.io/0x082de2f7266648593805e464835e98a9fc035894
2,0x42f9d5a35ae9aba2300cba864f2dd8311bc7a429,https://opensea.io/0x42f9d5a35ae9aba2300cba864f2dd8311bc7a429
2,0x73e4a2b60cf48e8baf2b777e175a5b1e4d0c2d8f,https://opensea.io/0x73e4a2b60cf48e8baf2b777e175a5b1e4d0c2d8f
1,0xfb6c769a5844d19d6228023a09f9f4f09e5f1f94,https://opensea.io/0xfb6c769a5844d19d6228023a09f9f4f09e5f1f94
1,0xe27f08a01a3b1380866919ff768dfcf8cd7f3488,https://opensea.io/0xe27f08a01a3b1380866919ff768dfcf8cd7f3488
1,0xad54e7ad2b024ea1db3be711c0eac7a0a4e1ae1a,https://opensea.io/0xad54e7ad2b024ea1db3be711c0eac7a0a4e1ae1a
1,0x5b6a6ffe186d49942613cf735f036129dafd827f,https://opensea.io/0x5b6a6ffe186d49942613cf735f036129dafd827f
1,0x0ed730798e9f7d8d08d87be6e523940495feeae6,https://opensea.io/0x0ed730798e9f7d8d08d87be6e523940495feeae6
1,0x11a80a5192bd09f312f0e728f068283f5e6446cb,https://opensea.io/0x11a80a5192bd09f312f0e728f068283f5e6446cb
1,0x7d2550161e8a31d0b9585bb9c88e63e9644af740,https://opensea.io/0x7d2550161e8a31d0b9585bb9c88e63e9644af740
1,0x0fc31b446b290abf25ebdb607eac4b86d9208d61,https://opensea.io/0x0fc31b446b290abf25ebdb607eac4b86d9208d61
1,0x2b0d6807dad80abf97462343dfafe338e15f2d12,https://opensea.io/0x2b0d6807dad80abf97462343dfafe338e15f2d12
1,0x0637e60203fb4125c2a3f2a20c1ce500360214b4,https://opensea.io/0x0637e60203fb4125c2a3f2a20c1ce500360214b4
1,0x164adf4993598fad93e769fc897a0c1895b4c935,https://opensea.io/0x164adf4993598fad93e769fc897a0c1895b4c935
1,0xd87a18638398cc7689e7cf2babf508e6c80a78a0,https://opensea.io/0xd87a18638398cc7689e7cf2babf508e6c80a78a0
1,0x6de514b2c21d990ac078fa2216bd86428a4af8b0,https://opensea.io/0x6de514b2c21d990ac078fa2216bd86428a4af8b0
1,0xba27e7ecc1adfa356403b73f0fbbfffd65c1c84e,https://opensea.io/0xba27e7ecc1adfa356403b73f0fbbfffd65c1c84e
1,0x5596c71cee4f69bd12a6141bef859d5ebba01312,https://opensea.io/0x5596c71cee4f69bd12a6141bef859d5ebba01312
1,0x7a53801655d9a7ac28c37c536f069b2ca71979c1,https://opensea.io/0x7a53801655d9a7ac28c37c536f069b2ca71979c1
1,0xb9a1d5c1a24172fda173888286da453d3a7da28f,https://opensea.io/0xb9a1d5c1a24172fda173888286da453d3a7da28f
1,0x07629f89a42aa6110b3b3880fe031e3016a8c38a,https://opensea.io/0x07629f89a42aa6110b3b3880fe031e3016a8c38a
1,0x25aea4ebaddfa8c8422ed7abb96200c30be542a6,https://opensea.io/0x25aea4ebaddfa8c8422ed7abb96200c30be542a6
1,0x48750ff8cc9c07fd36c1eb230ef3a49db8b4813a,https://opensea.io/0x48750ff8cc9c07fd36c1eb230ef3a49db8b4813a
1,0x719f17ed85c9208f5fa7dbf4067bcffa6d63f508,https://opensea.io/0x719f17ed85c9208f5fa7dbf4067bcffa6d63f508
1,0x1a2a20347525a8a829b2b2b6e8ad22714e80daa1,https://opensea.io/0x1a2a20347525a8a829b2b2b6e8ad22714e80daa1
1,0x9fa09affc3dba940ace432d0dc4dc27748ab986e,https://opensea.io/0x9fa09affc3dba940ace432d0dc4dc27748ab986e
1,0xbfe440c533f6861c00e71ce187f37a1a70b7b7e9,https://opensea.io/0xbfe440c533f6861c00e71ce187f37a1a70b7b7e9
1,0x7595d27ec13be0a19edbcfc7d55fe59534d6cc88,https://opensea.io/0x7595d27ec13be0a19edbcfc7d55fe59534d6cc88
1,0x27c5932ee1b0873e67279066be914d46203fc738,https://opensea.io/0x27c5932ee1b0873e67279066be914d46203fc738
1,0xaed1ffe46f5b6e14afdef764de436c38d38cd93f,https://opensea.io/0xaed1ffe46f5b6e14afdef764de436c38d38cd93f
1,0xf2dfe7cc63b488d9f723c1cdc6a175311c974bee,https://opensea.io/0xf2dfe7cc63b488d9f723c1cdc6a175311c974bee
1,0x7bc63a4e022986409ebd73c76f5ee08a99528880,https://opensea.io/0x7bc63a4e022986409ebd73c76f5ee08a99528880
1,0x955807f8cb79c3a0f4f1e20a8eb336c51d37e5ca,https://opensea.io/0x955807f8cb79c3a0f4f1e20a8eb336c51d37e5ca
1,0x7d5fe9c641ecc1426ee78a61444c82ede47f7995,https://opensea.io/0x7d5fe9c641ecc1426ee78a61444c82ede47f7995
1,0xf9d0997a43cde72cb0cee525ccb9e0ac2e9ac412,https://opensea.io/0xf9d0997a43cde72cb0cee525ccb9e0ac2e9ac412
1,0x3fcd36e0f6563afd988b135e0a8cf3fa153b214f,https://opensea.io/0x3fcd36e0f6563afd988b135e0a8cf3fa153b214f
1,0xdee46b14d36f0178bf16b7c06ad257dd115cbe8e,https://opensea.io/0xdee46b14d36f0178bf16b7c06ad257dd115cbe8e
1,0xc109a29a3e57072f084d2abdc34929c3801e61aa,https://opensea.io/0xc109a29a3e57072f084d2abdc34929c3801e61aa
1,0x591da3aa37ae2867d8833a952809706755acc266,https://opensea.io/0x591da3aa37ae2867d8833a952809706755acc266
1,0x819152daeaccbe31604aa24382eb76ecab4643c4,https://opensea.io/0x819152daeaccbe31604aa24382eb76ecab4643c4
1,0x37c4393152b65fd7691e85d186bb4b0539632f21,https://opensea.io/0x37c4393152b65fd7691e85d186bb4b0539632f21
1,0x43dfdf7a4665dcbd1728a5e75461ea44de900a6f,https://opensea.io/0x43dfdf7a4665dcbd1728a5e75461ea44de900a6f
1,0x84da7d7134d930ec8efe477f8f78e640f5ea1069,https://opensea.io/0x84da7d7134d930ec8efe477f8f78e640f5ea1069
1,0x3fd164dc1dc6a29c9364dacb9d3de154a68da7e8,https://opensea.io/0x3fd164dc1dc6a29c9364dacb9d3de154a68da7e8
1,0x3244100a07c7fee9bde409e877ed2e8ff1edeeda,https://opensea.io/0x3244100a07c7fee9bde409e877ed2e8ff1edeeda
1,0x7c6b51d7757cd31e2d6d692aad42caa4f9bd567a,https://opensea.io/0x7c6b51d7757cd31e2d6d692aad42caa4f9bd567a
1,0xee953387e6fdf9f871c03de9c096f8307ec0a9cd,https://opensea.io/0xee953387e6fdf9f871c03de9c096f8307ec0a9cd
1,0x5450e02ae67cbf741f285e5ec0f194518ef496fc,https://opensea.io/0x5450e02ae67cbf741f285e5ec0f194518ef496fc
1,0xeb785489eb19d1b7080dadc87709bc38c82bcece,https://opensea.io/0xeb785489eb19d1b7080dadc87709bc38c82bcece
1,0x3f22433662f78c99fbeb85dd4acac735b9b1f4be,https://opensea.io/0x3f22433662f78c99fbeb85dd4acac735b9b1f4be
1,0x48272c40e98429a9092356f6e4eebbd45c760a5c,https://opensea.io/0x48272c40e98429a9092356f6e4eebbd45c760a5c
1,0x7cc26b600ec01f23209ba6fc80322af5bd2b7155,https://opensea.io/0x7cc26b600ec01f23209ba6fc80322af5bd2b7155
1,0x6ec619baf180c0ff6172eab308ce83c892b08863,https://opensea.io/0x6ec619baf180c0ff6172eab308ce83c892b08863
1,0x00266a6c10c6b13529c1593b2152cc437f1cbd51,https://opensea.io/0x00266a6c10c6b13529c1593b2152cc437f1cbd51
1,0x703a2a57a5ae7931099c8ca5e485ec5be0a0be73,https://opensea.io/0x703a2a57a5ae7931099c8ca5e485ec5be0a0be73
1,0x95cff92d71f55b69bdcb41fd33f3c6a323debccc,https://opensea.io/0x95cff92d71f55b69bdcb41fd33f3c6a323debccc
1,0x899cd70ad8f1b9bdfc9a179e7f6dcab6f9caab41,https://opensea.io/0x899cd70ad8f1b9bdfc9a179e7f6dcab6f9caab41
1,0xe0e23a8ddcf160b1260db530df7984670c8ac98a,https://opensea.io/0xe0e23a8ddcf160b1260db530df7984670c8ac98a
1,0x87dd9f96fff4027599203d04d3bd5aeac8845716,https://opensea.io/0x87dd9f96fff4027599203d04d3bd5aeac8845716
