Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0-00,0x3c5ec8782a6adf7856d84bf8ece9d88e81639f16,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63464601352178742853705301528009557560480505404281097091864275377597714016882,2022-04-27 03:57:39,2022-04-27 03:57:39,2023-04-27 09:46:51,2023-07-26 09:46:51,2023-08-16 09:46:51
0-01,0x623c6a143c6eba9c6a43b2104b4b704bd52cd9ee,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85899596506037876287823564377996687381475327814036445289293279437925129306592,2022-04-27 02:00:55,2022-04-27 02:00:55,2023-04-27 07:50:07,2023-07-26 07:50:07,2023-08-16 07:50:07
0-02,0x623c6a143c6eba9c6a43b2104b4b704bd52cd9ee,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/73079334169190197794001146222826376193758660782709466028060117604973733361491,2022-04-27 02:05:25,2022-04-27 02:05:25,2023-04-27 07:54:37,2023-07-26 07:54:37,2023-08-16 07:54:37
0-03,0xef0b939361a6403c86ecb22e90e344605018e7ff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63324611458039359019796799443709363694184594526659865642433626091965308963418,2022-05-02 07:16:26,2022-05-02 07:16:26,2023-05-02 13:05:38,2023-07-31 13:05:38,2023-08-21 13:05:38
0-04,0xcb2940837b919e86899d62c19242fa49d3821f47,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16361902226041410480339406460800058614546120654321408035818687295284083430385,2022-05-02 11:18:43,2022-05-02 11:18:43,2023-05-02 17:07:55,2023-07-31 17:07:55,2023-08-21 17:07:55
0-05,0xcb2940837b919e86899d62c19242fa49d3821f47,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/36614809597721184734683365982293236837724187503604651086973745225525612098334,2022-05-02 11:23:40,2022-05-02 11:23:40,2023-05-02 17:12:52,2023-07-31 17:12:52,2023-08-21 17:12:52
0-06,0xef0b939361a6403c86ecb22e90e344605018e7ff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/56710893906984839012163953342624247183220247128777524066699225981636384511748,2022-05-02 07:20:44,2022-05-02 07:20:44,2023-05-02 13:09:56,2023-07-31 13:09:56,2023-08-21 13:09:56
0-07,0xfb558c25b89388a7b8f9dfe58f9557f5909e281a,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/112974319509349985265999468183964473585481457762682438866759763177604379064706,2022-04-30 17:05:54,2022-04-30 17:05:54,2023-04-30 22:55:06,2023-07-29 22:55:06,2023-08-19 22:55:06
0-08,0xef0b939361a6403c86ecb22e90e344605018e7ff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/67704520336070562221421069124586036291886204578652546714829640284519186051928,2022-05-02 07:16:33,2022-05-02 07:16:33,2023-05-02 13:05:45,2023-07-31 13:05:45,2023-08-21 13:05:45
0-09,0xcb2940837b919e86899d62c19242fa49d3821f47,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/50498401207168020966546647884940901613154221356589074857221420168879303694554,2022-05-02 11:30:33,2022-05-02 11:30:33,2023-05-02 17:19:45,2023-07-31 17:19:45,2023-08-21 17:19:45
0-10,0x16cfbe6b755fae06758d4a331488bcf20ebf71a0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91893770499784216594837018922791787426967231877097690004599508455271172583200,2022-04-30 04:41:38,2022-04-30 04:41:38,2023-04-30 10:30:50,2023-07-29 10:30:50,2023-08-19 10:30:50
0-11,0xbf2bf33cfa852c9dea1af7d8944b9c8f31aa368b,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/46222185980762300640569319919261153609862448936862707019037909283459461825837,2022-04-30 07:27:55,2022-04-30 07:27:55,2023-04-30 13:17:07,2023-07-29 13:17:07,2023-08-19 13:17:07
0-12,0x0a5035b43f421c31de237d767774b147abed834d,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/54203801681814526424833920685186727201701369069602896944418147162079937561685,2022-04-30 14:01:17,2022-04-30 14:01:17,2023-04-30 19:50:29,2023-07-29 19:50:29,2023-08-19 19:50:29
0-13,0x2b777132ef349f7eb9821349788793bd3366cf67,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8635104458157865389234035925302186540901424395881047626589864209175381732140,2022-04-30 08:19:50,2022-04-30 08:19:50,2023-04-30 14:09:02,2023-07-29 14:09:02,2023-08-19 14:09:02
0-14,0x1e7780305f2c4fe3c63634c3f3ec947b78b8cdf6,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91597644662525414768211911661870133212116895497729814025126061219344526963634,2022-04-30 14:29:08,2022-04-30 14:29:08,2023-04-30 20:18:20,2023-07-29 20:18:20,2023-08-19 20:18:20
0-15,0xc22a96b0d1adb6c55d2c5d734caa2842e3c0e102,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/632112917297771179164607075492428932531132449518788793437083487301682576183,2022-04-30 18:10:01,2022-04-30 18:10:01,2023-04-30 23:59:13,2023-07-29 23:59:13,2023-08-19 23:59:13
0-16,0xdb59ca1271e47a44afda8de648be34f28aa14613,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43639784021044623143788741753227883280018743660593659449166496530266783710833,2022-05-02 11:58:10,2022-05-02 11:58:10,2023-05-02 17:47:22,2023-07-31 17:47:22,2023-08-21 17:47:22
0-17,0x11ab9463418e47fc5d9fe2a17f662adb19b295c1,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85337795548800248735996932462646343113874613118850588355665706478888147446942,2022-05-02 23:12:11,2022-05-02 23:12:11,2023-05-03 05:01:23,2023-08-01 05:01:23,2023-08-22 05:01:23
0-18,0xca092c3095e6ebc38a56636482a9fc308b0a6722,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63919533593964988839421910208481547886110492353899374131688599826068985211591,2022-05-02 14:49:56,2022-05-02 14:49:56,2023-05-02 20:39:08,2023-07-31 20:39:08,2023-08-21 20:39:08
0-19,0xbff7c20770d47733d21d14b72407189b32b4fdef,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/24786366835838513564431570932119639641889941647262073923876616380544392306459,2022-05-02 15:32:53,2022-05-02 15:32:53,2022-06-08 04:07:48,2022-09-06 04:07:48,2022-09-27 04:07:48
0-20,0x6bb9967dbf8c9ed5631807eac17beaccb389bee4,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/103231420160142820111242061729541069863855580131800648416361735141229120017796,2022-04-30 15:46:03,2022-04-30 15:46:03,2023-04-30 21:35:15,2023-07-29 21:35:15,2023-08-19 21:35:15
0-21,0xdb59ca1271e47a44afda8de648be34f28aa14613,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/56686079301694672966251018920273431742650025872542959473094431579683275296302,2022-05-02 11:58:10,2022-05-02 11:58:10,2023-05-02 17:47:22,2023-07-31 17:47:22,2023-08-21 17:47:22
0-22,0xd16120f587e740c94476a0f6b59d41c46c472607,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/83444625002011016706616918859718272467972980086861211839786460279702678905358,2022-05-01 18:47:18,2022-05-01 18:47:18,2023-05-02 00:36:30,2023-07-31 00:36:30,2023-08-21 00:36:30
0-23,0xd595667edc111d96b8ff34b86cc235da3fe52c96,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/108184196893156326000424823839200928391575021923760333151956096397900591310816,2022-05-02 16:47:23,2022-05-02 16:47:23,2023-05-02 22:36:35,2023-07-31 22:36:35,2023-08-21 22:36:35
0-24,0xfd22444ebf357dee90b6dc951392f331e5087328,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/109247589111944112852500963491157320709508466524767919263628648383494382239391,2022-04-30 16:17:43,2022-04-30 16:17:43,2023-04-30 22:06:55,2023-07-29 22:06:55,2023-08-19 22:06:55
0-25,0x617d1b37389223a5a40b1565e7e9a9c44181df98,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57836169608062097705517946307371066876066021394933746390643827359124085997797,2022-05-03 03:10:29,2022-05-03 03:10:29,2023-05-03 08:59:41,2023-08-01 08:59:41,2023-08-22 08:59:41
0-26,0x18b5da399e398c23492a5c1f0b6b70e115fabb76,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/93062565094314280800571401118055558451631861377167430654364179124819278550968,2022-05-05 21:44:03,2022-05-05 21:44:03,2023-05-06 03:33:15,2023-08-04 03:33:15,2023-08-25 03:33:15
0-27,0x1c2f731d44551b1d3a5c960947c36c1797934d4e,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92048138342958787195906884327154077236662857396112265839296041733689395973918,2022-05-01 14:58:32,2022-05-01 14:58:32,2023-05-01 20:47:44,2023-07-30 20:47:44,2023-08-20 20:47:44
0-28,0xc99883059f615d27894c09b53fdc4cc28813553d,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64668932220404345473788807856184549674648469683497891082589509704822966199030,2022-05-07 08:49:01,2022-05-07 08:49:01,2023-05-07 14:38:13,2023-08-05 14:38:13,2023-08-26 14:38:13
0-29,,4,Never Registered,,https://app.ens.domains/name/0-29.eth/register,,,,,
0-30,0xef0b939361a6403c86ecb22e90e344605018e7ff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114392212156295936638911348556752130659611164534873498646235695423889893084038,2022-05-02 13:01:15,2022-05-02 13:01:15,2023-05-02 18:50:27,2023-07-31 18:50:27,2023-08-21 18:50:27
0-31,0xd28fb1a280c8817b35edc8ba4725329bb04890ec,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/55148173250176135746232710596807450604499672766525865531671104080449157966903,2022-05-04 06:00:39,2022-05-04 06:00:39,2023-05-04 11:49:51,2023-08-02 11:49:51,2023-08-23 11:49:51
0-32,,4,Never Registered,,https://app.ens.domains/name/0-32.eth/register,,,,,
0-33,0xfa3001a3042843555936c93629f90aed6df0fd0b,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/81805409727951938609337881128743794859838025594863148070665495235230279915141,2022-05-01 11:17:55,2022-05-01 11:17:55,2023-05-01 17:07:07,2023-07-30 17:07:07,2023-08-20 17:07:07
0-34,0xf21e178a90fd9f14f2437714244bfad399764a47,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61835165204931822949604504006034929750473858742991625199417801531627937757320,2022-05-04 20:47:39,2022-05-04 20:47:39,2023-05-05 02:36:51,2023-08-03 02:36:51,2023-08-24 02:36:51
