Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
00-0,0x4d49b03d3a66181a76a734ec653fc8fdac87a301,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78472571889965909575916448182963149082578985747249754142213915442440635935083,2022-04-28 04:48:34,2022-04-28 04:48:34,2023-04-28 10:37:46,2023-07-27 10:37:46,2023-08-17 10:37:46
00-1,0x81aad692a3f4059cd836d2cfa1019382bacd9ad0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/14356494534576534169059216423093959567395992902162122807987376230219726624611,2022-04-28 10:40:47,2022-04-28 10:40:47,2023-04-28 16:29:59,2023-07-27 16:29:59,2023-08-17 16:29:59
00-2,0x9cb6b959771132330c1a30e51957a046cad01921,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/54934224838203586187396972421934285603512349227678575183659871815833270726100,2022-04-29 21:50:07,2022-04-29 21:50:07,2022-06-05 10:25:02,2022-09-03 10:25:02,2022-09-24 10:25:02
00-3,0xe6c58f8e459fe570afff5b4622990ea1744f0e28,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/112187853876274277609046115471625785574458082229219080037486941470018616582238,2022-04-30 14:00:29,2022-04-30 14:00:29,2023-04-30 19:49:41,2023-07-29 19:49:41,2023-08-19 19:49:41
00-4,0xfc0cba9bab2f8fbed08afeb5f2b805e0533f5733,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/66583504743099138843584304643144092868515937213340617512715334616797206435811,2022-05-01 20:21:56,2022-05-01 20:21:56,2023-05-02 02:11:08,2023-07-31 02:11:08,2023-08-21 02:11:08
00-5,0xfc0cba9bab2f8fbed08afeb5f2b805e0533f5733,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/79715592095931062105593911807184725902773301740108693889303952058422824415447,2022-05-01 20:22:55,2022-05-01 20:22:55,2023-05-02 02:12:07,2023-07-31 02:12:07,2023-08-21 02:12:07
00-6,0xfc0cba9bab2f8fbed08afeb5f2b805e0533f5733,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/110358859225184297459345590721618633070015712061972164512857358675310122066582,2022-05-01 20:24:48,2022-05-01 20:24:48,2023-05-02 02:14:00,2023-07-31 02:14:00,2023-08-21 02:14:00
00-7,0xd83f2ecd151b5cc4661a318db3f4ca0678636022,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/74084243482526067579586017295720957348870393040197810945485490644247298076550,2022-04-28 21:21:16,2022-04-28 21:21:16,2023-04-29 03:10:28,2023-07-28 03:10:28,2023-08-18 03:10:28
00-8,0x4988a813e210e2165dd48382c403459182f13f87,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64966506437205933801688275385216746580522555525644572951237888284922718612663,2022-04-29 21:21:49,2022-04-29 21:21:49,2022-05-28 00:19:54,2022-08-26 00:19:54,2022-09-16 00:19:54
00-9,0x9cb6b959771132330c1a30e51957a046cad01921,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/17612645251736676067659836033181149709401041612680934191951102421016090140262,2022-04-29 21:47:35,2022-04-29 21:47:35,2022-06-05 10:22:30,2022-09-03 10:22:30,2022-09-24 10:22:30
01-0,0xb4a9e36dcfa4968e6806aa111f76a3e5c620e869,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/83141847540998806205489686778045546612778215466026921411984732849243442307800,2022-05-01 23:17:29,2022-05-01 23:17:29,2023-05-02 05:06:41,2023-07-31 05:06:41,2023-08-21 05:06:41
01-1,0x9f2e4d32eaa17d746a89b73c4d71dc2a68329775,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/283131636574172021571334240346165127680635490343667277100028620854040485310,2022-04-30 02:49:00,2022-04-30 02:49:00,2023-04-30 08:38:12,2023-07-29 08:38:12,2023-08-19 08:38:12
01-2,0xa1666cd8d2aca806cfd9f3ac043257042057c536,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/96047576365995073615530320372523618218064523734246452209476406506493091855670,2022-05-02 11:29:17,2022-05-02 11:29:17,2023-05-02 17:18:29,2023-07-31 17:18:29,2023-08-21 17:18:29
01-3,0xf21277aa4e4197591a3762c974a7df5c1291edfd,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/107749249108487935605432926784292756350749040518178120153959709349534519171537,2022-05-03 04:33:32,2022-05-03 04:33:32,2022-05-31 07:31:37,2022-08-29 07:31:37,2022-09-19 07:31:37
01-4,0x359d6d0ea24bb42553cf890d53bf44c0f98c5a49,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31988038565994386650387120382716239348509331708855127626469909211992751742411,2022-05-10 21:55:24,2022-05-10 21:55:24,2022-06-09 03:11:20,2022-09-07 03:11:20,2022-09-28 03:11:20
01-5,0x359d6d0ea24bb42553cf890d53bf44c0f98c5a49,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86717892377012133465772410751754767075951894512035738796154576704039514819515,2022-05-10 21:55:10,2022-05-10 21:55:10,2022-06-09 03:11:06,2022-09-07 03:11:06,2022-09-28 03:11:06
01-6,0x359d6d0ea24bb42553cf890d53bf44c0f98c5a49,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34422555558484666028895380735125880490426798543780817081042360633108973594950,2022-05-10 21:54:46,2022-05-10 21:54:46,2022-06-09 03:10:42,2022-09-07 03:10:42,2022-09-28 03:10:42
01-7,0x359d6d0ea24bb42553cf890d53bf44c0f98c5a49,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/58426249743505267994568719027050386564160496691470170259694783860989345530987,2022-05-10 21:54:46,2022-05-10 21:54:46,2022-06-09 03:10:42,2022-09-07 03:10:42,2022-09-28 03:10:42
01-8,0x359d6d0ea24bb42553cf890d53bf44c0f98c5a49,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/6470064403196015208817806588448677923102634300931813058466869616026804875958,2022-05-10 21:54:46,2022-05-10 21:54:46,2022-06-09 03:10:42,2022-09-07 03:10:42,2022-09-28 03:10:42
01-9,0x359d6d0ea24bb42553cf890d53bf44c0f98c5a49,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/50459464071212062886591705935001176057595187844646878342588747668958955787750,2022-05-10 21:54:24,2022-05-10 21:54:24,2022-06-09 03:10:20,2022-09-07 03:10:20,2022-09-28 03:10:20
02-0,0x3a9f0c5126d55a201b70a77d73782829423613b0,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3859324028318147974879088221808155948339114871327941284146858550457555999093,2022-05-02 22:48:08,2022-05-02 22:48:08,2023-05-03 04:37:20,2023-08-01 04:37:20,2023-08-22 04:37:20
02-1,,4,Never Registered,,https://app.ens.domains/name/02-1.eth/register,,,,,
02-2,,4,Never Registered,,https://app.ens.domains/name/02-2.eth/register,,,,,
02-3,,4,Never Registered,,https://app.ens.domains/name/02-3.eth/register,,,,,
02-4,,4,Never Registered,,https://app.ens.domains/name/02-4.eth/register,,,,,
02-5,,4,Never Registered,,https://app.ens.domains/name/02-5.eth/register,,,,,
02-6,,4,Never Registered,,https://app.ens.domains/name/02-6.eth/register,,,,,
02-7,,4,Never Registered,,https://app.ens.domains/name/02-7.eth/register,,,,,
02-8,,4,Never Registered,,https://app.ens.domains/name/02-8.eth/register,,,,,
02-9,,4,Never Registered,,https://app.ens.domains/name/02-9.eth/register,,,,,
03-0,,4,Never Registered,,https://app.ens.domains/name/03-0.eth/register,,,,,
03-1,,4,Never Registered,,https://app.ens.domains/name/03-1.eth/register,,,,,
03-2,,4,Never Registered,,https://app.ens.domains/name/03-2.eth/register,,,,,
03-3,,4,Never Registered,,https://app.ens.domains/name/03-3.eth/register,,,,,
