Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
00x,0x4f2fc90212e949ff4aa32def570744163671f22b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3040376215427958524009498120426386234936258157547461260393109726798169388902,2021-11-10 02:10:24,2021-11-10 02:10:24,2022-11-10 07:59:36,2023-02-08 07:59:36,2023-03-01 07:59:36
01x,0x6eef09b526d883f98762a7005fabd2c800dfca44,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1273241412481268291558143638057918319012153923042908964324667271081074535176,2022-04-27 05:43:42,2022-04-27 05:43:42,2022-05-26 10:59:38,2022-08-24 10:59:38,2022-09-14 10:59:38
02x,0xfc2efa3b7904da7d6c802b6b6e3ce8279beed2a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114034289750178027973541705741946970108325309956197976771760588668451470385601,2021-09-03 05:24:06,2021-09-03 05:24:06,2022-09-03 11:13:18,2022-12-02 11:13:18,2022-12-23 11:13:18
03x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/108735392007994155926164062184809087516343838345553086094123371501075857958925,2022-04-27 06:07:53,2022-04-27 06:07:53,2022-05-26 11:23:49,2022-08-24 11:23:49,2022-09-14 11:23:49
04x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/40517406972515356199144121553712290362643119533231660209796602998078884019584,2022-04-27 06:11:42,2022-04-27 06:11:42,2022-05-26 11:27:38,2022-08-24 11:27:38,2022-09-14 11:27:38
05x,0xde241a53deef975d8a89507a8baa5eb5e120c649,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/96525045101963150926869729962387515974156220843758543441078730291916366539288,2022-04-29 02:43:33,2022-04-29 02:43:33,2023-04-29 08:32:45,2023-07-28 08:32:45,2023-08-18 08:32:45
06x,0x801b66a09c31c2fc3365bbcdb2cd9ab8375c124c,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95143911347180702670115043343446350370722527748273546571222032833255329102206,2022-04-30 07:13:13,2022-04-30 07:13:13,2022-06-05 19:48:08,2022-09-03 19:48:08,2022-09-24 19:48:08
07x,0x53b6baee8ddb9f9624d279d0fa5ee85fa0ad1229,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/82661314866488310041413093780757178030497279991453702147715869475082938501689,2022-04-29 18:19:36,2022-04-29 18:19:36,2022-06-05 06:54:31,2022-09-03 06:54:31,2022-09-24 06:54:31
08x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87820878799830829002034049219223949305469260630209059282587729380743095471676,2022-04-27 06:53:49,2022-04-27 06:53:49,2022-05-26 12:09:45,2022-08-24 12:09:45,2022-09-14 12:09:45
09x,0xcefbdcfb977b1f40f0ce434831705705a072e69a,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7494852509336930415505183718584605952232559119765488159462120583523471200062,2022-05-01 07:41:22,2022-05-01 07:41:22,2023-05-01 13:30:34,2023-07-30 13:30:34,2023-08-20 13:30:34
10x,0xb177f8e2ce4197ce167edb12d0b32a8b7aed3c7d,3,On Grace Period,,https://app.ens.domains/name/10x.eth/register,2021-03-04 21:54:39,2021-03-04 21:54:39,2022-03-05 03:43:51,2022-06-03 03:43:51,2022-06-24 03:43:51
11x,0x7f37cb4e1ff71193175b11c16faa7d97aa851876,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87434903140098746754301733983948567195519568468617331094703455035961627269123,2022-04-27 05:28:49,2022-04-27 05:28:49,2023-04-27 11:18:01,2023-07-26 11:18:01,2023-08-16 11:18:01
12x,0x07f13fbce6af5f7e0e6233b4b37a4521e5bc572b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43681083016924800553776173835294260853998527286015459213963423768087721762208,2022-04-28 16:10:53,2022-04-28 16:10:53,2023-04-28 22:00:05,2023-07-27 22:00:05,2023-08-17 22:00:05
13x,0x6eef09b526d883f98762a7005fabd2c800dfca44,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/58880286367295384215376258956844832202305672205990673473430895386496486596891,2022-04-27 05:41:47,2022-04-27 05:41:47,2022-05-26 10:57:43,2022-08-24 10:57:43,2022-09-14 10:57:43
