Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0xx0,0x280661fecf5f723a690a412ddbe09e1f28016257,4,On Grace Period,,https://app.ens.domains/name/0xx0.eth/register,2021-02-12 19:28:31,2021-02-12 19:28:31,2022-02-13 01:17:43,2022-05-14 01:17:43,2022-06-04 01:17:43
0xx1,0x7fe407aa7d6ad8888dc2a4c690c29e533f0d0a33,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33489032908098635643126047448911482891669387975258051881958430871887360119657,2022-04-30 05:33:03,2022-04-30 05:33:03,2023-04-30 11:22:15,2023-07-29 11:22:15,2023-08-19 11:22:15
0xx2,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/65968858846440846517892797979396444036564383248152037501173088622038931471373,2022-04-30 08:10:28,2022-04-30 08:10:28,2023-04-30 13:59:40,2023-07-29 13:59:40,2023-08-19 13:59:40
0xx3,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/96108470466505487935093556799078594585329307249242270829098940104482748509490,2022-04-30 08:10:15,2022-04-30 08:10:15,2023-04-30 13:59:27,2023-07-29 13:59:27,2023-08-19 13:59:27
0xx4,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35541242940108453263485813560689411949592621469718673532184532821972360025188,2022-04-30 08:11:03,2022-04-30 08:11:03,2023-04-30 14:00:15,2023-07-29 14:00:15,2023-08-19 14:00:15
0xx5,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/90420578543279523660893311071060477023294681815376759075212059689951850216558,2022-04-30 08:13:33,2022-04-30 08:13:33,2023-04-30 14:02:45,2023-07-29 14:02:45,2023-08-19 14:02:45
0xx6,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72442064333806229361275532628057426658694495674718993527389323671348285748606,2022-04-30 08:15:15,2022-04-30 08:15:15,2023-04-30 14:04:27,2023-07-29 14:04:27,2023-08-19 14:04:27
0xx7,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/82228284083683238886349337930981989587868995897219843994043978994472158629991,2022-04-30 08:15:15,2022-04-30 08:15:15,2023-04-30 14:04:27,2023-07-29 14:04:27,2023-08-19 14:04:27
0xx8,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29925444050277711044104706317164796583687145833347234654147722297746943013191,2022-04-30 08:17:57,2022-04-30 08:17:57,2023-04-30 14:07:09,2023-07-29 14:07:09,2023-08-19 14:07:09
0xx9,0xd6f1f26699f9d4e6054e628559b844fa9f0ee143,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91916737439142170939984101883681362041679703538557796242558447646985186759433,2022-04-30 08:19:17,2022-04-30 08:19:17,2023-04-30 14:08:29,2023-07-29 14:08:29,2023-08-19 14:08:29
