Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
x00,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78109194382143041142700788964924809336106814853228468821127019402954831434433,2021-11-11 04:59:18,2021-11-11 04:59:18,2022-11-11 10:48:30,2023-02-09 10:48:30,2023-03-02 10:48:30
x01,0x8d9c29e24eeb8add679cf37ed36cad1070327513,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101066246822849236898895108098029609842266182088671342729092924888987269860758,2022-01-18 19:44:32,2022-01-18 19:44:32,2023-01-19 01:33:44,2023-04-19 01:33:44,2023-05-10 01:33:44
x02,0xfc2efa3b7904da7d6c802b6b6e3ce8279beed2a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/50244540007707898757884868507159701615359762341430804483661004014991828446043,2021-09-03 05:21:45,2021-09-03 05:21:45,2022-09-03 11:10:57,2022-12-02 11:10:57,2022-12-23 11:10:57
x03,0xe118f02ef3034b75651ad0a7ecc19f41dae100a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/45468143168279732773876774466577946583787387933857314191999614025644992112608,2022-04-27 06:36:55,2022-04-27 06:36:55,2022-06-03 02:12:35,2022-09-01 02:12:35,2022-09-22 02:12:35
x04,0xd484d3f381e257b323f45fc4d813cd28df184625,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/38050275385356907560906611376329180915880272308846388657081982911069371900556,2022-04-29 02:32:09,2022-04-29 02:32:09,2022-06-22 21:24:31,2022-09-20 21:24:31,2022-10-11 21:24:31
x05,0xa6d2d51ed8656891f026d9378e166e5b196d71f8,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16409483914049227283923803416140295727702396750208670908224316642732276362457,2022-04-30 10:35:30,2022-04-30 10:35:30,2023-04-30 16:24:42,2023-07-29 16:24:42,2023-08-19 16:24:42
x06,0xe118f02ef3034b75651ad0a7ecc19f41dae100a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32181859502107275707445985036186271637250955168768855807476541794372920295694,2022-04-30 03:51:20,2022-04-30 03:51:20,2022-06-06 09:58:09,2022-09-04 09:58:09,2022-09-25 09:58:09
x07,0xe118f02ef3034b75651ad0a7ecc19f41dae100a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87463665231622057825103413663412914568243319913064260318095332501607519252148,2022-04-30 03:58:28,2022-04-30 03:58:28,2022-06-23 22:50:50,2022-09-21 22:50:50,2022-10-12 22:50:50
x08,0xbcdb0116ad05d4569b01117dbb489055d12fdbbc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/95553202809999635824441424200802505828532452648627722416374457684611214019390,2022-04-30 00:39:08,2022-04-30 00:39:08,2022-06-05 13:14:03,2022-09-03 13:14:03,2022-09-24 13:14:03
x09,0xe118f02ef3034b75651ad0a7ecc19f41dae100a5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/73737300962072655136452805688358543701789242341686278922826276950968587436040,2022-04-30 03:47:21,2022-04-30 03:47:21,2022-07-12 04:57:11,2022-10-10 04:57:11,2022-10-31 04:57:11
x10,0x9d5ccc66175834be28b98cc837cfd83b37b91752,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76725587691183011046100632061313686904359605838437949124983111654792474788731,2021-11-16 13:40:52,2021-11-16 13:40:52,2022-11-16 19:30:04,2023-02-14 19:30:04,2023-03-07 19:30:04
x11,0xf79ea04b46fb7280f5bd448acbe2abf862da3ee0,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/93136116543002346072652468908670629189139573017166156929200057425201628508339,2022-04-27 07:19:46,2022-04-27 07:19:46,2024-06-02 07:33:05,2024-08-31 07:33:05,2024-09-21 07:33:05
x12,0xa1666cd8d2aca806cfd9f3ac043257042057c536,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47955342631019117199591952207317210145538313207655593324315149237332746649523,2022-04-29 07:47:56,2022-04-29 07:47:56,2023-04-29 13:37:08,2023-07-28 13:37:08,2023-08-18 13:37:08
x13,0xd484d3f381e257b323f45fc4d813cd28df184625,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57622463220849348543893360626639912403071994798276635662120166213845063452254,2022-04-28 23:27:01,2022-04-28 23:27:01,2022-07-11 00:36:51,2022-10-09 00:36:51,2022-10-30 00:36:51
x14,0xd1da868d85bb90cf3722a4cb9fb23c26f203b369,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/6911405487435217998479408527412765902151720301075920601146851672595720277606,2022-04-30 11:18:06,2022-04-30 11:18:06,2022-06-13 07:12:00,2022-09-11 07:12:00,2022-10-02 07:12:00
x15,0x48b88faf3b4bd634189364e7a7c1e8b8a3a5eeb2,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16899913155230610923351500325011174710804729370575823393317560733491863936314,2022-04-30 09:57:26,2022-04-30 09:57:26,2023-04-30 15:46:38,2023-07-29 15:46:38,2023-08-19 15:46:38
x16,0xd484d3f381e257b323f45fc4d813cd28df184625,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/58110333559851768989761954521462206598788029916951510168963454257692159357692,2022-04-29 02:32:09,2022-04-29 02:32:09,2022-06-22 21:24:31,2022-09-20 21:24:31,2022-10-11 21:24:31
x17,0x0a63040e9f5f0d8422b28e7db62422afce1cb57e,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22174093038613705245047659581132960523086918338244905385154696632831259969860,2022-05-01 09:34:24,2022-05-01 09:34:24,2022-05-30 14:50:20,2022-08-28 14:50:20,2022-09-18 14:50:20
