Number Held,Address,Opensea
14,0x0b66b88240900d44ca11fa61a6be75a6d3f37b1d,https://opensea.io/0x0b66b88240900d44ca11fa61a6be75a6d3f37b1d
11,0x73855fcc76cea6458794aa6664b816dc57c1505e,https://opensea.io/0x73855fcc76cea6458794aa6664b816dc57c1505e
10,0xd484d3f381e257b323f45fc4d813cd28df184625,https://opensea.io/0xd484d3f381e257b323f45fc4d813cd28df184625
5,0xe118f02ef3034b75651ad0a7ecc19f41dae100a5,https://opensea.io/0xe118f02ef3034b75651ad0a7ecc19f41dae100a5
3,0xf79ea04b46fb7280f5bd448acbe2abf862da3ee0,https://opensea.io/0xf79ea04b46fb7280f5bd448acbe2abf862da3ee0
3,0xd1da868d85bb90cf3722a4cb9fb23c26f203b369,https://opensea.io/0xd1da868d85bb90cf3722a4cb9fb23c26f203b369
3,0x0a63040e9f5f0d8422b28e7db62422afce1cb57e,https://opensea.io/0x0a63040e9f5f0d8422b28e7db62422afce1cb57e
2,0xa1666cd8d2aca806cfd9f3ac043257042057c536,https://opensea.io/0xa1666cd8d2aca806cfd9f3ac043257042057c536
2,0x9939629aed5c318e9e92e1a073d56ad0dcd481f2,https://opensea.io/0x9939629aed5c318e9e92e1a073d56ad0dcd481f2
2,0x976c74a1ee799242b4a416611c5888e8ee9d624c,https://opensea.io/0x976c74a1ee799242b4a416611c5888e8ee9d624c
2,0x588778f1a7e07366dd9e47f69baefbe35d291221,https://opensea.io/0x588778f1a7e07366dd9e47f69baefbe35d291221
2,0x2874c4e9cb5f183ef3d8adfa6d6bbd584dc67842,https://opensea.io/0x2874c4e9cb5f183ef3d8adfa6d6bbd584dc67842
2,0x2f2fc34e798a5884efb4022c8caa402baf94c35f,https://opensea.io/0x2f2fc34e798a5884efb4022c8caa402baf94c35f
1,0x8217cc277a8edfda132a0123761e1d2aa795ecc6,https://opensea.io/0x8217cc277a8edfda132a0123761e1d2aa795ecc6
1,0x8d9c29e24eeb8add679cf37ed36cad1070327513,https://opensea.io/0x8d9c29e24eeb8add679cf37ed36cad1070327513
1,0xfc2efa3b7904da7d6c802b6b6e3ce8279beed2a5,https://opensea.io/0xfc2efa3b7904da7d6c802b6b6e3ce8279beed2a5
1,0xa6d2d51ed8656891f026d9378e166e5b196d71f8,https://opensea.io/0xa6d2d51ed8656891f026d9378e166e5b196d71f8
1,0xbcdb0116ad05d4569b01117dbb489055d12fdbbc,https://opensea.io/0xbcdb0116ad05d4569b01117dbb489055d12fdbbc
