Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
314,0x372973309f827b5c3864115ce121c96ef9cb1658,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85788773610426251296167858344589310284028461202944973268176877750779827446760,2021-03-30 23:57:27,2021-03-30 23:57:27,2023-03-31 11:35:51,2023-06-29 11:35:51,2023-07-20 11:35:51
3141,0xe7057ed6a6a1d5d8d0a494d49937cbcb1156ff20,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76797228905683231022484787571581333746286133425187320057212101904761623202789,2021-09-17 12:09:25,2021-09-17 12:09:25,2023-09-17 23:47:49,2023-12-16 23:47:49,2024-01-06 23:47:49
31415,0x382d698136f126bf25c08467a8765b75f0c8435a,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12564963238233030136835307020169393816243848604700725178013895625764200229999,2020-09-20 06:47:45,2020-09-20 06:47:45,2026-09-20 17:42:57,2026-12-19 17:42:57,2027-01-09 17:42:57
314159,0x123456789504fc9a8d69381e50bda77965584b8e,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/94560959266500624894400960843446718954645882161831934951229016358287226092638,2019-10-20 13:39:18,2020-02-06 22:33:52,2027-10-20 06:23:42,2028-01-18 06:23:42,2028-02-08 06:23:42
3141592,0x61582e03bbda8915d75960f21909877933e1bf1d,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/14851134557654929437112447455561642729655497301704826386786746589108316460383,2017-05-16 13:39:24,2021-08-26 07:09:49,2027-08-26 18:05:01,2027-11-24 18:05:01,2027-12-15 18:05:01
31415926,0xbb46be602d82f3209b6392130b5bbd40d78df339,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64117211024936599477104676553566354350643502384913794042612230620057736899413,2017-07-05 06:59:48,2020-02-06 14:36:26,2025-05-04 01:06:00,2025-08-02 01:06:00,2025-08-23 01:06:00
314159265,0xc33c08e15f42e81f4d7d7fae5d0bc36ed81b5956,9,On Grace Period,,https://app.ens.domains/name/314159265.eth/register,2017-06-09 02:14:29,2020-02-07 00:51:49,2022-05-04 07:38:24,2022-08-02 07:38:24,2022-08-23 07:38:24
3141592653,0xb46d73a2cd176d876338652a4ecbbadc624cf085,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/70096914108525532188619434293455158674906592137787612296019900384232530115207,2017-06-15 05:34:44,2021-12-11 23:52:12,2022-12-12 05:41:24,2023-03-12 05:41:24,2023-04-02 05:41:24
31415926535,0x8edfeffe2e2b7e040549c339e852b61f1ce7cdd5,11,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/94810493969571374213430223039522646662457088656393845343338927164534290021657,2017-09-24 10:04:26,2021-08-14 23:39:22,2022-08-15 05:28:34,2022-11-13 05:28:34,2022-12-04 05:28:34
314159265358,0xa4a5837f7183fc45a84f90a4072fb49107b12a0a,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/69031909436930510094237220398867490791182925648190772373052021194585765394332,2018-03-15 20:53:42,2022-04-27 13:43:25,2023-04-27 19:32:37,2023-07-26 19:32:37,2023-08-16 19:32:37
3141592653589,0x694f2c86a18f13898e37d2a89087eaaf6c5c48ee,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13241027494824521561276760131969333551200720787724851445947129547513314736875,2022-04-28 01:38:43,2022-04-28 01:38:43,2023-04-28 07:27:55,2023-07-27 07:27:55,2023-08-17 07:27:55
31415926535897,0x3204552208ccea9dd7e752c80b18cea1ebb7ce39,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13222063658945018326760697228650574905370233602449886360672840723115538489474,2022-04-29 17:01:36,2022-04-29 17:01:36,2023-04-29 22:50:48,2023-07-28 22:50:48,2023-08-18 22:50:48
314159265358979,0xeac00b45c7bb954d34db75ada1cc28aed5a53efc,15,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/89545448969422045496377291634535804756662438853431936912123093581012115314423,2022-04-30 12:09:44,2022-04-30 12:09:44,2027-04-30 17:15:44,2027-07-29 17:15:44,2027-08-19 17:15:44
3141592653589793,0x820cff3590437db86477c5d186a85bdfaba96a53,16,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78560816603286907650948920281731702943068520449031601714178969891413450528371,2022-05-02 01:21:51,2022-05-02 01:21:51,2023-05-02 07:11:03,2023-07-31 07:11:03,2023-08-21 07:11:03
31415926535897932,0x5e03b07ae157ee1ca5bf2f3cbe5bc8dc38f3e965,17,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3789088475477695191182952390811748644778459752820143822552534845820989776,2017-05-10 03:21:46,2021-05-28 14:01:15,2026-05-28 19:07:15,2026-08-26 19:07:15,2026-09-16 19:07:15
314159265358979323,0x24e6d835f23b9716af984f6604625c6b074015cd,18,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64075882619202483305502925373713433612551498854996866324144852103487723253949,2022-05-02 16:14:48,2022-05-02 16:14:48,2025-05-02 09:42:24,2025-07-31 09:42:24,2025-08-21 09:42:24
3141592653589793238,0xeb4a11fedd475bfbb960b80d4d970be7ab582de8,19,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15088947972864663685884880707023678852954685106245932924253027425096605081087,2022-04-29 13:39:35,2022-04-29 13:39:35,2027-04-29 18:45:35,2027-07-28 18:45:35,2027-08-18 18:45:35
31415926535897932384,0x24e6d835f23b9716af984f6604625c6b074015cd,20,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22514322180566033872900104156576775230920454582792735139720810965125505803526,2022-05-02 16:18:32,2022-05-02 16:18:32,2025-05-02 09:46:08,2025-07-31 09:46:08,2025-08-21 09:46:08
314159265358979323846,0xb06b4083e08ef470d84b47caa50d20346b04a5a5,21,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3674134125197326479485227271121992499814216111037612595267607385205989361728,2022-05-02 01:49:02,2022-05-02 01:49:02,2023-05-02 07:38:14,2023-07-31 07:38:14,2023-08-21 07:38:14
3141592653589793238462,0x48ebcea0ffc8c6447b3a3958bf4b0b819703bf37,22,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/110334948458910219084164806964597516383470793399055383294304711794129072043562,2022-05-03 10:18:49,2022-05-03 10:18:49,2023-05-03 16:08:01,2023-08-01 16:08:01,2023-08-22 16:08:01
31415926535897932384626,0xc27a3a4f3d76a8990f4de1b79aaa23a04a31adda,23,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85718444776963408859970143039630079112882624408246530460154196300750690590810,2022-05-05 16:58:58,2022-05-05 16:58:58,2024-05-05 04:37:22,2024-08-03 04:37:22,2024-08-24 04:37:22
314159265358979323846264,0x99e011894390611d7c2b271f77977848257c4115,24,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/50895830357876885854282207859676503687443408439575501383534770118360814691757,2022-05-05 11:00:42,2022-05-05 11:00:42,2023-05-05 16:49:54,2023-08-03 16:49:54,2023-08-24 16:49:54
3141592653589793238462643,0x3270a0942ad8552e0b2db1e8ccf0c2e8d5ca0c4d,25,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44997205913906098200432449638549259071485934422371767039165660369610973307574,2022-05-06 03:24:36,2022-05-06 03:24:36,2023-05-06 09:13:48,2023-08-04 09:13:48,2023-08-25 09:13:48
31415926535897932384626433,0xc27a3a4f3d76a8990f4de1b79aaa23a04a31adda,26,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22539228123505463902232081936154738624159699992694517431400566598602041579203,2022-05-05 16:13:14,2022-05-05 16:13:14,2024-05-05 03:51:38,2024-08-03 03:51:38,2024-08-24 03:51:38
314159265358979323846264338,0xe814ca0e315cb9dfa8888c99827056b1f279b5a5,27,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34369426876995156964934366717782899858622537014063299704183740787720996250579,2022-05-06 16:54:41,2022-05-06 16:54:41,2023-05-06 22:43:53,2023-08-04 22:43:53,2023-08-25 22:43:53
3141592653589793238462643383,0x35cb75fc58d42dc2d3df308fd7f81420d5ddfaa0,28,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8739157694942726681994668491801804771118192967289741412241006500860048334068,2022-05-07 05:46:52,2022-05-07 05:46:52,2023-05-07 11:36:04,2023-08-05 11:36:04,2023-08-26 11:36:04
