Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
player0,0x6c2f122b595d0ba0efe93970eff07e465cca1786,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32752726616980235657391860101798740611266806474315862591776846391465992247912,2021-11-10 01:06:40,2021-11-10 01:06:40,2071-11-10 04:06:40,2072-02-08 04:06:40,2072-02-29 04:06:40
player1,0xceb7d613cd04231371c79b9893169c4e8cf658b1,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/74418616462743697996404837125958524653305997647975479859375788807275769590323,2020-02-07 05:48:11,2022-01-04 11:37:12,2023-01-04 17:26:24,2023-04-04 17:26:24,2023-04-25 17:26:24
player2,0x1dc2dc7110f8ee61650864ad6680fe8144b7d6f9,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18497016018497079731471103054138461656963137346344745213336849815717643486241,2021-08-26 21:33:17,2021-08-26 21:33:17,2022-08-27 03:22:29,2022-11-25 03:22:29,2022-12-16 03:22:29
player3,0x68024d7f576b8c67f68cc23cd261c7725d37b598,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/107071129086748467441457307291986177335987340610438616679562023541155803245287,2021-10-05 10:36:09,2021-10-05 10:36:09,2031-10-05 20:48:09,2032-01-03 20:48:09,2032-01-24 20:48:09
player4,0x6c08ef79c02630f3836ec42c850fa09232767604,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21965916498722571438322429437178997053173456912378820605475106903465343082351,2022-01-04 02:02:53,2022-01-04 02:02:53,2027-01-04 07:08:53,2027-04-04 07:08:53,2027-04-25 07:08:53
player5,0x127b2d391c5e99a5fcb270f564ce531071cfe0bf,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57093815932605661754102314384370923742468027658759703753505886171090761349354,2022-01-05 14:21:22,2022-01-05 14:21:22,2032-01-06 00:33:22,2032-04-05 00:33:22,2032-04-26 00:33:22
player6,0x127b2d391c5e99a5fcb270f564ce531071cfe0bf,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21148470759652920944111953345048936799217326757919032928693017156994004264963,2022-01-05 14:21:46,2022-01-05 14:21:46,2032-01-06 00:33:46,2032-04-05 00:33:46,2032-04-26 00:33:46
player7,0x127b2d391c5e99a5fcb270f564ce531071cfe0bf,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/24468800802104504593078254174329669531979588375996389849884252468595800080719,2022-01-05 14:23:21,2022-01-05 14:23:21,2032-01-06 00:35:21,2032-04-05 00:35:21,2032-04-26 00:35:21
player8,0x127b2d391c5e99a5fcb270f564ce531071cfe0bf,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29527355051725975434461052400120644415256069830368335842085499864207159615691,2022-01-05 14:24:49,2022-01-05 14:24:49,2032-01-06 00:36:49,2032-04-05 00:36:49,2032-04-26 00:36:49
player9,0x127b2d391c5e99a5fcb270f564ce531071cfe0bf,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44886226483765834814491748558670557270663986367341540372889427190215106367104,2022-01-05 14:25:12,2022-01-05 14:25:12,2032-01-06 00:37:12,2032-04-05 00:37:12,2032-04-26 00:37:12
