Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
walmart,0xc2c4acc7bbbee0144566e5ed1116cef49017ec53,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/40767927356804050687644058641582063532896120300110454788972639205472571612265,2017-05-30 12:10:42,2020-02-03 20:20:27,2040-05-03 16:24:00,2040-08-01 16:24:00,2040-08-22 16:24:00
generalelectric,0x139d7eb62e45e61abf2b7642d2a419d3ac50e61d,15,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/4677437546286400372118774490738431557160219844916885538589081254206258778300,2017-05-11 14:26:34,2020-09-04 14:59:49,2023-09-05 08:27:25,2023-12-04 08:27:25,2023-12-25 08:27:25
altrianews,,10,Never Registered,,https://app.ens.domains/name/altrianews.eth/register,,,,,
aiginsurance,,12,Never Registered,,https://app.ens.domains/name/aiginsurance.eth/register,,,,,
aepnews,,7,Never Registered,,https://app.ens.domains/name/aepnews.eth/register,,,,,
boeing,0x9464ad2b6cb0be22866f173efb4c375c149e93fe,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/113269520983988700176285524982336881767333158565327950485641710849450680804170,2019-10-19 16:24:50,2020-02-06 00:48:26,2025-10-18 21:30:50,2026-01-16 21:30:50,2026-02-06 21:30:50
kindermorgan,0x2eed38128cda960847f4bedc19645a565254a23e,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9020562053191683647294856552743731243329958718571325294777950776732626318707,2017-05-14 01:13:22,2021-08-29 02:41:54,2025-08-29 01:58:42,2025-11-27 01:58:42,2025-12-18 01:58:42
homedepot,0x6488ea4a5177adc1b150bb7c13944ed3ab6a85a6,9,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/20674252944696835307439457873576429024665433187522560146270508621727633430372,2017-05-19 08:58:14,2020-02-05 16:08:29,2026-06-16 10:30:57,2026-09-14 10:30:57,2026-10-05 10:30:57
jpmorgan,0x140ef05a724ca161d49ffe8d97d35571289fa5c4,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87356433366877300239584609811250444663618912808865359815408194580915030267848,2017-06-22 12:51:17,2020-02-04 14:35:11,2025-05-04 01:06:00,2025-08-02 01:06:00,2025-08-23 01:06:00
cardinalhealth,0x5275b9068d54c5590fbb61d8e959931b813084a5,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34399456784299080323034486050452972986634721364016796678039892069506613529035,2017-05-25 22:46:20,2021-02-17 22:46:01,2024-02-18 16:13:37,2024-05-18 16:13:37,2024-06-08 16:13:37
statefarm,0x182ee7ab75651c10921df72da3ea2ae077bdf65f,9,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15911135258144646319121655542734778811497613079443193035478887165728834858630,2017-05-17 00:48:37,2020-02-05 21:41:27,2023-02-27 19:00:00,2023-05-28 19:00:00,2023-06-18 19:00:00
mckesson,0x621bccf4a480ffe164491cc1620fadeb60e5da76,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12610364942308925852996643753114810059467994140076331029960618473069672176468,2017-05-15 18:48:18,2020-02-05 15:04:12,2022-06-16 13:46:52,2022-09-14 13:46:52,2022-10-05 13:46:52
merrilllynch,0xccd663c884ed449c2fa469f388db14be19a37738,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/53254623860046105787897703097065793005337503814320387532160968214926365201864,2017-06-04 15:42:46,2020-08-30 05:10:34,2031-08-30 21:11:46,2031-11-28 21:11:46,2031-12-19 21:11:46
albertsons,0x5275b9068d54c5590fbb61d8e959931b813084a5,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5628066489340844914763782521834926981697789646632965007156578050759318256227,2017-05-12 18:53:13,2020-08-29 11:34:16,2024-08-29 10:51:04,2024-11-27 10:51:04,2024-12-18 10:51:04
freddiemac,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/110050807415587884416408581486070950865690035807893678562206254181339781856260,2017-07-03 11:14:30,2020-02-05 00:08:22,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
jnjnews,,7,Never Registered,,https://app.ens.domains/name/jnjnews.eth/register,,,,,
conoco,0x516f381d6c94110cde63f3266b779065525096f7,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/10001696794559519459936706548608480092505802869483931846591950477807217458751,2020-08-04 09:55:52,2020-08-04 09:55:52,2022-08-04 21:34:16,2022-11-02 21:34:16,2022-11-23 21:34:16
pfizernews,,10,Never Registered,,https://app.ens.domains/name/pfizernews.eth/register,,,,,
jcpenney,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/81607145664930743779122210818149106247318504778116015352147070825641793362996,2017-06-18 05:57:31,2020-02-07 14:37:34,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
metlife,0x3182c1c22e7d083c2073a64a71e7ae6b3b4d2e1a,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32789654702199527217802074857662012793331856486287788617877218269385397469071,2017-05-25 03:39:12,2020-02-03 18:58:11,2046-05-04 03:19:12,2046-08-02 03:19:12,2046-08-23 03:19:12
goldmansachs,0x5295e3a8a6380aab6e014e242629006a7f8d5586,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39521510684147953975749345819825354922803615889306193205701810906426976859922,2017-05-28 10:59:16,2020-08-07 10:05:05,2024-08-07 09:21:53,2024-11-05 09:21:53,2024-11-26 09:21:53
motorola,0xc3baa0fa5f21af0157548bebf57028516fca7a71,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/106202769169965699143095764417951297713372851366299993952174260859748152899246,2017-06-30 13:48:48,2020-08-29 17:43:35,2041-08-29 19:56:47,2041-11-27 19:56:47,2041-12-18 19:56:47
allstate,0x54e80390434b8bfcabc823e9656c57d018c1dc77,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/88438723522793833562089603040852116823273133706818518640854473232004654853121,2017-06-22 05:36:12,2020-02-05 23:32:08,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
txuenergy,0x0f6cf95d1e5a5ee7a1d15dde5e03ec5d6ee833c5,9,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91494949158659555187030461232145414892751692851322051407694796582738596380339,2022-05-08 00:44:06,2022-05-08 00:44:06,2023-05-08 06:33:18,2023-08-06 06:33:18,2023-08-27 06:33:18
utc,0x6be3c1db95efd407d4f77b29389843e7c557f051,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13770769542560316553261873884324423319999125692933079783145016072689069618949,2019-10-29 16:22:44,2021-09-02 22:32:15,2022-09-03 04:21:27,2022-12-02 04:21:27,2022-12-23 04:21:27
conagrafoods,0x727b3e0d358d664644e71d3af75d235a6609e5be,12,Expired Registration,,https://app.ens.domains/name/conagrafoods.eth/register,2017-06-04 19:20:30,2020-02-05 00:18:19,2020-05-03 20:00:00,2020-08-01 20:00:00,2020-08-22 20:00:00
intel,0x16cac4f493db73c12ff9febbf794be4a31dc865d,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8186540320736442267448252188523744698557103085821461415926323263542223174844,2019-09-29 14:19:42,2020-02-06 03:24:49,2030-09-29 00:31:42,2030-12-28 00:31:42,2031-01-18 00:31:42
delphiauto,,10,Never Registered,,https://app.ens.domains/name/delphiauto.eth/register,,,,,
sprint,0xe2faa63f2351c6f2b88659f2fffc2167172d329a,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/90793262893537869381360819690234652767286887902997914611715145081393033149992,2019-10-18 07:50:25,2020-02-04 08:32:16,2023-03-23 20:46:57,2023-06-21 20:46:57,2023-07-12 20:46:57
newyorklife,0xac44bdab222469f01f1e60a9e27bded7c130ed8b,11,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/10410992675097671487527438166024307129066597888620132722495956531161652636172,2017-05-14 16:54:14,2022-02-22 02:00:16,2032-02-22 12:12:16,2032-05-22 12:12:16,2032-06-12 12:12:16
dupontnews,,10,Never Registered,,https://app.ens.domains/name/dupontnews.eth/register,,,,,
georgiapacific,0x27f75260af9546b0f9d21ec71a3eba760e4b75b3,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15197003709850756414580428537075485270611262486360275563217855139163475567856,2017-05-30 15:49:35,2022-01-19 08:44:03,2027-01-19 13:50:03,2027-04-19 13:50:03,2027-05-10 13:50:03
disney,0xe2faa63f2351c6f2b88659f2fffc2167172d329a,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61144384139704695341950484519979463928720358432961506329303250030180166471521,2019-10-16 13:53:04,2020-02-06 01:57:48,2022-12-02 12:04:51,2023-03-02 12:04:51,2023-03-23 12:04:51
aetna,0xc028c81948fc73f53c1644a3325e6887a1291ccd,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15889256030080440045845367197757908168034179685494086462384225663152663909125,2019-10-09 00:50:25,2021-02-02 18:22:54,2028-02-03 11:07:18,2028-05-03 11:07:18,2028-05-24 11:07:18
lockheedmartin,0x9ae80b7a2a27f77810e97017f27a341adb3d2148,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35733994050649312638992639130949060912938766577192148518815509841162616294248,2017-05-26 15:09:42,2020-08-29 00:13:53,2023-08-29 17:41:29,2023-11-27 17:41:29,2023-12-18 17:41:29
